company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,total_pax_booked,departure_delay_minutes,load_factor
UA,307,2025-08-14,ORD,COS,2025-08-14 09:15:00+00:00,2025-08-14T11:08:00Z,2025-08-14 09:11:00+00:00,2025-08-14T10:44:00Z,179,B737-MAX9,Mainline,94,85,56,121,-4.0,0.6759776536312849
UA,1538,2025-08-08,ORD,SAV,2025-08-08 11:05:00+00:00,2025-08-08T14:34:00Z,2025-08-08 10:59:00+00:00,2025-08-08T14:11:00Z,126,B737-700,Mainline,100,108,43,119,-6.0,0.9444444444444444
UA,1006,2025-08-02,ORD,LGA,2025-08-02 18:00:00+00:00,2025-08-02T21:20:00Z,2025-08-02 19:00:00+00:00,2025-08-02T22:10:00Z,166,B737-800,Mainline,63,55,51,166,60.0,1.0
G7,4395,2025-08-14,ORD,TVC,2025-08-14 18:15:00+00:00,2025-08-14T20:38:00Z,2025-08-14 19:41:00+00:00,2025-08-14T21:46:00Z,50,CRJ-550,Express,132,124,29,46,86.0,0.92
UA,1538,2025-08-06,ORD,SAV,2025-08-06 11:05:00+00:00,2025-08-06T14:34:00Z,2025-08-06 10:57:00+00:00,2025-08-06T14:09:00Z,126,B737-700,Mainline,95,81,43,102,-8.0,0.8095238095238095
UA,2138,2025-08-08,ORD,LGA,2025-08-08 14:05:00+00:00,2025-08-08T17:27:00Z,2025-08-08 14:01:00+00:00,2025-08-08T17:13:00Z,166,B737-800,Mainline,62,87,51,154,-4.0,0.927710843373494
G7,4481,2025-08-15,ORD,GRR,2025-08-15 07:00:00+00:00,2025-08-15T09:07:00Z,2025-08-15 06:56:00+00:00,2025-08-15T09:01:00Z,50,CRJ-550,Express,644,632,29,41,-4.0,0.82
OO,5108,2025-08-14,ORD,SLN,2025-08-14 16:45:00+00:00,2025-08-14T18:50:00Z,2025-08-14 16:39:00+00:00,2025-08-14T18:33:00Z,50,CRJ-200,Express,85,82,29,40,-6.0,0.8
YX,3568,2025-08-15,ORD,YYZ,2025-08-15 10:50:00+00:00,2025-08-15T13:42:00Z,2025-08-15 10:48:00+00:00,2025-08-15T13:40:00Z,76,ERJ-175,Express,75,64,42,76,-2.0,1.0
OO,4739,2025-08-03,ORD,GRB,2025-08-03 15:35:00+00:00,2025-08-03T16:48:00Z,2025-08-03 15:34:00+00:00,2025-08-03T16:40:00Z,50,CRJ-200,Express,69,63,29,50,-1.0,1.0
UA,664,2025-08-02,ORD,LGA,2025-08-02 16:00:00+00:00,2025-08-02T19:20:00Z,2025-08-02 16:01:00+00:00,2025-08-02T19:10:00Z,166,B737-800,Mainline,400,59,51,160,1.0,0.963855421686747
OO,5517,2025-08-04,ORD,PVD,2025-08-04 18:15:00+00:00,2025-08-04T21:54:00Z,2025-08-04 18:14:00+00:00,2025-08-04T21:40:00Z,76,ERJ-175,Express,87,86,34,73,-1.0,0.9605263157894737
UA,1156,2025-08-08,ORD,MSY,2025-08-08 19:55:00+00:00,2025-08-08T22:25:00Z,2025-08-08 20:14:00+00:00,2025-08-08T22:35:00Z,179,B737-900,Mainline,62,61,56,166,19.0,0.9273743016759777
G7,4387,2025-08-06,ORD,CID,2025-08-06 09:20:00+00:00,2025-08-06T10:40:00Z,2025-08-06 09:05:00+00:00,2025-08-06T10:30:00Z,50,CRJ-550,Express,75,73,29,50,-15.0,1.0
UA,1361,2025-08-11,ORD,STL,2025-08-11 21:20:00+00:00,2025-08-11T22:45:00Z,2025-08-11 21:40:00+00:00,2025-08-11T23:34:00Z,126,A319-100,Mainline,60,52,43,126,20.0,1.0
UA,2323,2025-08-03,ORD,MCO,2025-08-03 09:15:00+00:00,2025-08-03T13:10:00Z,2025-08-03 09:09:00+00:00,2025-08-03T12:48:00Z,200,A321-2NX,Mainline,97,99,62,200,-6.0,1.0
OO,5229,2025-08-13,ORD,ILM,2025-08-13 11:59:00+00:00,2025-08-13T15:24:00Z,2025-08-13 11:54:00+00:00,2025-08-13T14:59:00Z,76,ERJ-175,Express,47,39,34,52,-5.0,0.6842105263157895
YX,3700,2025-08-02,ORD,BNA,2025-08-02 07:25:00+00:00,2025-08-02T09:13:00Z,2025-08-02 07:40:00+00:00,2025-08-02T09:15:00Z,76,ERJ-175,Express,5,33,34,76,15.0,1.0
G7,4610,2025-08-15,ORD,XNA,2025-08-15 12:41:00+00:00,2025-08-15T14:35:00Z,2025-08-15 12:38:00+00:00,2025-08-15T14:28:00Z,50,CRJ-550,Express,59,71,29,47,-3.0,0.94
UA,1414,2025-08-13,ORD,BOI,2025-08-13 08:45:00+00:00,2025-08-13T11:43:00Z,2025-08-13 08:40:00+00:00,2025-08-13T11:09:00Z,150,A320-200,Mainline,59,78,46,127,-5.0,0.8466666666666667
UA,1156,2025-08-13,ORD,MSY,2025-08-13 19:55:00+00:00,2025-08-13T22:25:00Z,2025-08-13 19:56:00+00:00,2025-08-13T22:17:00Z,179,B737-MAX9,Mainline,73,62,56,68,1.0,0.37988826815642457
UA,247,2025-08-13,ORD,OMA,2025-08-13 12:45:00+00:00,2025-08-13T14:22:00Z,2025-08-13 12:38:00+00:00,2025-08-13T14:07:00Z,150,A320-200,Mainline,69,86,46,98,-7.0,0.6533333333333333
UA,2378,2025-08-08,ORD,LAX,2025-08-08 21:42:00+00:00,2025-08-09T00:15:00Z,2025-08-08 21:50:00+00:00,2025-08-08T23:59:00Z,200,A321-2NX,Mainline,77,94,62,188,8.0,0.94
OO,5930,2025-08-14,ORD,FAR,2025-08-14 13:20:00+00:00,2025-08-14T15:29:00Z,2025-08-14 15:00:00+00:00,2025-08-14T16:49:00Z,50,CRJ-200,Express,205,91,29,48,100.0,0.96
YX,3628,2025-08-11,ORD,IND,2025-08-11 17:50:00+00:00,2025-08-11T20:03:00Z,2025-08-11 17:45:00+00:00,2025-08-11T19:54:00Z,76,ERJ-175,Express,45,38,34,76,-5.0,1.0
OO,5564,2025-08-01,ORD,SBN,2025-08-01 14:20:00+00:00,2025-08-01T16:18:00Z,2025-08-01 14:29:00+00:00,2025-08-01T16:29:00Z,50,CRJ-550,Express,57,87,29,47,9.0,0.94
UA,2361,2025-08-13,ORD,LAX,2025-08-13 07:10:00+00:00,2025-08-13T09:40:00Z,2025-08-13 07:07:00+00:00,2025-08-13T09:15:00Z,234,B757-300,Mainline,662,498,66,125,-3.0,0.5341880341880342
YX,3520,2025-08-05,ORD,CVG,2025-08-05 21:16:00+00:00,2025-08-05T23:46:00Z,2025-08-05 21:16:00+00:00,2025-08-05T23:30:00Z,76,ERJ-175,Express,162,166,34,55,0.0,0.7236842105263158
G7,4546,2025-08-06,ORD,AVP,2025-08-06 18:35:00+00:00,2025-08-06T21:43:00Z,2025-08-06 19:14:00+00:00,2025-08-06T22:06:00Z,50,CRJ-550,Express,-5,23,29,46,39.0,0.92
OO,5362,2025-08-14,ORD,MKE,2025-08-14 21:40:00+00:00,2025-08-14T22:45:00Z,2025-08-14 21:35:00+00:00,2025-08-14T22:20:00Z,50,CRJ-200,Express,90,66,29,48,-5.0,0.96
OO,5251,2025-08-03,ORD,ASE,2025-08-03 19:35:00+00:00,2025-08-03T21:44:00Z,2025-08-03 19:43:00+00:00,2025-08-03T22:00:00Z,70,ERJ-175,Express,68,91,34,62,8.0,0.8857142857142857
G7,4429,2025-08-07,ORD,FSD,2025-08-07 15:52:00+00:00,2025-08-07T17:44:00Z,2025-08-07 15:51:00+00:00,2025-08-07T17:36:00Z,50,CRJ-550,Express,57,78,29,48,-1.0,0.96
UA,1899,2025-08-01,ORD,YYC,2025-08-01 20:05:00+00:00,2025-08-01T22:53:00Z,2025-08-01 21:19:00+00:00,2025-08-01T23:47:00Z,126,A319-100,Mainline,70,102,52,127,74.0,1.0
UA,2137,2025-08-03,ORD,SLC,2025-08-03 09:02:00+00:00,2025-08-03T11:40:00Z,2025-08-03 09:00:00+00:00,2025-08-03T11:40:00Z,166,B737-800,Mainline,68,76,51,152,-2.0,0.9156626506024096
UA,1576,2025-08-10,ORD,LGA,2025-08-10 20:00:00+00:00,2025-08-10T23:22:00Z,2025-08-10 20:00:00+00:00,2025-08-10T23:34:00Z,166,B737-800,Mainline,80,73,51,166,0.0,1.0
UA,2004,2025-08-11,ORD,SYR,2025-08-11 13:45:00+00:00,2025-08-11T16:44:00Z,2025-08-11 13:53:00+00:00,2025-08-11T16:39:00Z,150,A320-200,Mainline,84,102,46,147,8.0,0.98
UA,343,2025-08-02,ORD,SFO,2025-08-02 10:53:00+00:00,2025-08-02T13:40:00Z,2025-08-02 10:52:00+00:00,2025-08-02T13:23:00Z,200,A321-2NX,Mainline,1079,1115,62,201,-1.0,1.0
UA,2370,2025-08-11,ORD,BOS,2025-08-11 14:28:00+00:00,2025-08-11T18:06:00Z,2025-08-11 14:28:00+00:00,2025-08-11T18:06:00Z,179,B737-900,Mainline,79,69,56,179,0.0,1.0
UA,2189,2025-08-01,ORD,LGA,2025-08-01 13:00:00+00:00,2025-08-01T16:20:00Z,2025-08-01 12:56:00+00:00,2025-08-01T15:56:00Z,166,B737-MAX8,Mainline,96,94,60,166,-4.0,1.0
UA,481,2025-08-12,ORD,RNO,2025-08-12 19:52:00+00:00,2025-08-12T22:19:00Z,2025-08-12 22:01:00+00:00,2025-08-13T00:27:00Z,126,B737-700,Mainline,95,51,43,70,129.0,0.5555555555555556
UA,1209,2025-08-15,ORD,EWR,2025-08-15 21:25:00+00:00,2025-08-16T00:46:00Z,2025-08-15 21:30:00+00:00,2025-08-16T00:46:00Z,179,B737-900,Mainline,67,55,56,170,5.0,0.9497206703910615
UA,2177,2025-08-15,ORD,MSN,2025-08-15 14:00:00+00:00,2025-08-15T15:03:00Z,2025-08-15 14:30:00+00:00,2025-08-15T15:36:00Z,126,A319-100,Mainline,9,42,43,121,30.0,0.9603174603174603
UA,909,2025-08-13,ORD,AMS,2025-08-13 18:15:00+00:00,2025-08-14T09:20:00Z,2025-08-13 18:49:00+00:00,2025-08-14T09:24:00Z,243,B787-8,Mainline,280,319,95,243,34.0,1.0
UA,1584,2025-08-05,ORD,LAX,2025-08-05 10:50:00+00:00,2025-08-05T13:23:00Z,2025-08-05 10:50:00+00:00,2025-08-05T13:03:00Z,200,A321-2NX,Mainline,711,739,62,200,0.0,1.0
YX,3690,2025-08-13,ORD,IND,2025-08-13 15:40:00+00:00,2025-08-13T17:53:00Z,2025-08-13 15:31:00+00:00,2025-08-13T17:36:00Z,76,ERJ-175,Express,57,45,34,66,-9.0,0.868421052631579
YX,3542,2025-08-15,ORD,YUL,2025-08-15 17:58:00+00:00,2025-08-15T21:29:00Z,2025-08-15 17:53:00+00:00,2025-08-15T21:27:00Z,76,ERJ-175,Express,53,71,42,74,-5.0,0.9736842105263158
OO,4791,2025-08-14,ORD,SBN,2025-08-14 10:35:00+00:00,2025-08-14T12:33:00Z,2025-08-14 10:27:00+00:00,2025-08-14T12:20:00Z,50,CRJ-550,Express,56,32,29,49,-8.0,0.98
UA,2011,2025-08-11,ORD,YVR,2025-08-11 08:48:00+00:00,2025-08-11T11:33:00Z,2025-08-11 09:00:00+00:00,2025-08-11T11:29:00Z,150,A320-200,Mainline,67,103,60,144,12.0,0.96
UA,1946,2025-08-15,ORD,LGA,2025-08-15 15:00:00+00:00,2025-08-15T18:20:00Z,2025-08-15 14:59:00+00:00,2025-08-15T18:15:00Z,166,B737-MAX8,Mainline,105,114,51,160,-1.0,0.963855421686747
OO,5292,2025-08-02,ORD,MTY,2025-08-02 08:45:00+00:00,2025-08-02T11:41:00Z,2025-08-02 08:41:00+00:00,2025-08-02T11:46:00Z,76,ERJ-175,Express,756,749,42,75,-4.0,0.9868421052631579
UA,845,2025-08-12,ORD,GRU,2025-08-12 21:20:00+00:00,2025-08-13T09:30:00Z,2025-08-12 23:15:00+00:00,2025-08-13T11:30:00Z,318,B787-10,Mainline,300,379,155,211,115.0,0.6635220125786163
YX,3525,2025-08-13,ORD,YYZ,2025-08-13 16:43:00+00:00,2025-08-13T19:37:00Z,2025-08-13 16:41:00+00:00,2025-08-13T19:31:00Z,76,ERJ-175,Express,58,78,42,75,-2.0,0.9868421052631579
UA,2677,2025-08-06,ORD,IAD,2025-08-06 17:56:00+00:00,2025-08-06T20:55:00Z,2025-08-06 21:10:00+00:00,2025-08-07T00:23:00Z,176,B757-200,Mainline,231,412,122,145,194.0,0.8238636363636364
UA,767,2025-08-13,ORD,DEN,2025-08-13 21:32:00+00:00,2025-08-13T23:22:00Z,2025-08-13 22:10:00+00:00,2025-08-13T23:42:00Z,200,A321-2NX,Mainline,22,64,62,185,38.0,0.925
OO,5026,2025-08-13,ORD,JST,2025-08-13 21:05:00+00:00,2025-08-13T23:55:00Z,2025-08-13 21:18:00+00:00,2025-08-14T00:08:00Z,50,CRJ-200,Express,40,69,29,41,13.0,0.82
OO,5493,2025-08-05,ORD,ATW,2025-08-05 11:05:00+00:00,2025-08-05T12:18:00Z,2025-08-05 11:01:00+00:00,2025-08-05T12:08:00Z,50,CRJ-200,Express,106,116,29,48,-4.0,0.96
G7,4519,2025-08-06,ORD,SCE,2025-08-06 18:20:00+00:00,2025-08-06T21:24:00Z,2025-08-06 18:08:00+00:00,2025-08-06T21:04:00Z,50,CRJ-550,Express,70,62,29,41,-12.0,0.82
OO,4791,2025-08-04,ORD,SBN,2025-08-04 10:35:00+00:00,2025-08-04T12:33:00Z,2025-08-04 10:30:00+00:00,2025-08-04T12:20:00Z,50,CRJ-550,Express,56,60,29,45,-5.0,0.9
UA,592,2025-08-03,ORD,JAC,2025-08-03 16:50:00+00:00,2025-08-03T19:05:00Z,2025-08-03 16:59:00+00:00,2025-08-03T18:57:00Z,126,B737-700,Mainline,57,89,43,125,9.0,0.9920634920634921
G7,4590,2025-08-01,ORD,MDT,2025-08-01 16:45:00+00:00,2025-08-01T19:52:00Z,2025-08-01 16:36:00+00:00,2025-08-01T19:23:00Z,50,CRJ-550,Express,42,43,29,49,-9.0,0.98
YX,3464,2025-08-13,ORD,PIT,2025-08-13 21:15:00+00:00,2025-08-13T23:58:00Z,2025-08-13 21:30:00+00:00,2025-08-13T23:51:00Z,76,ERJ-175,Express,142,48,39,74,15.0,0.9736842105263158
OO,5963,2025-08-14,ORD,BDL,2025-08-14 14:09:00+00:00,2025-08-14T17:36:00Z,2025-08-14 14:22:00+00:00,2025-08-14T17:59:00Z,70,ERJ-175,Express,59,74,34,69,13.0,0.9857142857142858
OO,5447,2025-08-10,ORD,PVD,2025-08-10 11:05:00+00:00,2025-08-10T14:39:00Z,2025-08-10 10:59:00+00:00,2025-08-10T14:42:00Z,70,ERJ-175,Express,71,33,34,57,-6.0,0.8142857142857143
UA,1495,2025-08-05,ORD,TVC,2025-08-05 19:52:00+00:00,2025-08-05T22:12:00Z,2025-08-05 19:58:00+00:00,2025-08-05T22:25:00Z,150,A320-200,Mainline,57,60,46,68,6.0,0.4533333333333333
UA,2100,2025-08-08,ORD,SLC,2025-08-08 13:11:00+00:00,2025-08-08T15:40:00Z,2025-08-08 13:11:00+00:00,2025-08-08T15:36:00Z,166,B737-800,Mainline,68,100,51,165,0.0,0.9939759036144579
UA,2640,2025-08-05,ORD,DCA,2025-08-05 15:00:00+00:00,2025-08-05T18:02:00Z,2025-08-05 14:59:00+00:00,2025-08-05T17:48:00Z,126,B737-700,Mainline,119,124,51,59,-1.0,0.46825396825396826
UA,224,2025-08-01,ORD,BZN,2025-08-01 09:04:00+00:00,2025-08-01T11:31:00Z,2025-08-01 09:10:00+00:00,2025-08-01T11:26:00Z,166,B737-800,Mainline,206,84,60,161,6.0,0.9698795180722891
OO,5392,2025-08-15,ORD,OKC,2025-08-15 19:36:00+00:00,2025-08-15T22:03:00Z,2025-08-15 19:40:00+00:00,2025-08-15T21:36:00Z,76,ERJ-175,Express,165,130,39,58,4.0,0.7631578947368421
OO,5984,2025-08-05,ORD,BIL,2025-08-05 09:20:00+00:00,2025-08-05T11:36:00Z,2025-08-05 09:30:00+00:00,2025-08-05T11:29:00Z,76,ERJ-175,Express,78,28,34,72,10.0,0.9473684210526315
OO,5737,2025-08-13,ORD,OMA,2025-08-13 21:12:00+00:00,2025-08-13T23:00:00Z,2025-08-13 21:19:00+00:00,2025-08-13T22:51:00Z,76,ERJ-175,Express,47,74,34,41,7.0,0.5394736842105263
G7,4552,2025-08-03,ORD,DAY,2025-08-03 21:30:00+00:00,2025-08-03T23:58:00Z,2025-08-03 21:23:00+00:00,2025-08-03T23:27:00Z,50,CRJ-550,Express,74,57,29,44,-7.0,0.88
G7,4476,2025-08-07,ORD,CAE,2025-08-07 13:55:00+00:00,2025-08-07T17:00:00Z,2025-08-07 15:00:00+00:00,2025-08-07T17:59:00Z,50,CRJ-550,Express,110,209,29,50,65.0,1.0
G7,4482,2025-08-02,ORD,TUL,2025-08-02 15:35:00+00:00,2025-08-02T17:35:00Z,2025-08-02 15:34:00+00:00,2025-08-02T17:22:00Z,50,CRJ-550,Express,40,51,29,50,-1.0,1.0
OO,5557,2025-08-12,ORD,OKC,2025-08-12 09:15:00+00:00,2025-08-12T11:54:00Z,2025-08-12 09:31:00+00:00,2025-08-12T11:55:00Z,76,ERJ-175,Express,73,63,34,73,16.0,0.9605263157894737
UA,2683,2025-08-11,ORD,SAN,2025-08-11 14:06:00+00:00,2025-08-11T16:28:00Z,2025-08-11 14:02:00+00:00,2025-08-11T16:11:00Z,166,B737-800,Mainline,95,114,51,166,-4.0,1.0
OO,5557,2025-08-13,ORD,OKC,2025-08-13 09:15:00+00:00,2025-08-13T11:54:00Z,2025-08-13 09:12:00+00:00,2025-08-13T11:34:00Z,76,ERJ-175,Express,73,87,34,76,-3.0,1.0
YX,3716,2025-08-13,ORD,CMH,2025-08-13 18:20:00+00:00,2025-08-13T20:57:00Z,2025-08-13 18:27:00+00:00,2025-08-13T20:43:00Z,76,ERJ-175,Express,47,53,34,76,7.0,1.0
UA,1616,2025-08-04,ORD,GRR,2025-08-04 18:20:00+00:00,2025-08-04T20:35:00Z,2025-08-04 18:21:00+00:00,2025-08-04T20:28:00Z,179,B737-900,Mainline,88,85,56,138,1.0,0.770949720670391
YX,3440,2025-08-15,ORD,YYZ,2025-08-15 07:04:00+00:00,2025-08-15T09:58:00Z,2025-08-15 06:59:00+00:00,2025-08-15T09:42:00Z,76,ERJ-175,Express,539,544,42,70,-5.0,0.9210526315789473
OO,5836,2025-08-10,ORD,TYS,2025-08-10 10:35:00+00:00,2025-08-10T13:21:00Z,2025-08-10 12:06:00+00:00,2025-08-10T14:44:00Z,50,CRJ-550,Express,45,39,29,50,91.0,1.0
OO,5493,2025-08-06,ORD,ATW,2025-08-06 11:05:00+00:00,2025-08-06T12:18:00Z,2025-08-06 10:58:00+00:00,2025-08-06T12:08:00Z,50,CRJ-200,Express,104,107,29,48,-7.0,0.96
UA,1775,2025-08-10,ORD,FLL,2025-08-10 10:45:00+00:00,2025-08-10T15:03:00Z,2025-08-10 10:44:00+00:00,2025-08-10T14:52:00Z,179,B737-MAX9,Mainline,75,101,56,178,-1.0,0.994413407821229
UA,2653,2025-08-05,ORD,RDU,2025-08-05 10:52:00+00:00,2025-08-05T13:59:00Z,2025-08-05 10:46:00+00:00,2025-08-05T14:03:00Z,179,B737-MAX9,Mainline,69,64,56,168,-6.0,0.9385474860335196
G7,4552,2025-08-15,ORD,DAY,2025-08-15 21:30:00+00:00,2025-08-15T23:58:00Z,2025-08-15 21:35:00+00:00,2025-08-16T00:03:00Z,50,CRJ-550,Express,79,100,29,38,5.0,0.76
UA,1599,2025-08-11,ORD,DEN,2025-08-11 08:45:00+00:00,2025-08-11T10:35:00Z,2025-08-11 08:44:00+00:00,2025-08-11T10:30:00Z,364,B777-2HD,Mainline,186,177,93,364,-1.0,1.0
UA,2666,2025-08-07,ORD,DEN,2025-08-07 05:00:00+00:00,2025-08-07T06:43:00Z,2025-08-07 04:56:00+00:00,2025-08-07T06:22:00Z,200,A321-2NX,Mainline,470,219,62,200,-4.0,1.0
YX,3536,2025-08-11,ORD,YUL,2025-08-11 07:15:00+00:00,2025-08-11T10:40:00Z,2025-08-11 07:10:00+00:00,2025-08-11T10:28:00Z,76,ERJ-175,Express,735,730,42,67,-5.0,0.881578947368421
YX,3409,2025-08-07,ORD,YOW,2025-08-07 13:56:00+00:00,2025-08-07T17:06:00Z,2025-08-07 13:53:00+00:00,2025-08-07T17:16:00Z,76,ERJ-175,Express,50,58,42,74,-3.0,0.9736842105263158
G7,4590,2025-08-14,ORD,MDT,2025-08-14 16:45:00+00:00,2025-08-14T19:52:00Z,2025-08-14 17:51:00+00:00,2025-08-14T20:23:00Z,50,CRJ-550,Express,-20,45,29,50,66.0,1.0
UA,763,2025-08-01,ORD,PWM,2025-08-01 10:58:00+00:00,2025-08-01T14:24:00Z,2025-08-01 10:55:00+00:00,2025-08-01T14:00:00Z,166,B737-800,Mainline,79,94,51,166,-3.0,1.0
UA,2195,2025-08-08,ORD,BDL,2025-08-08 11:06:00+00:00,2025-08-08T14:24:00Z,2025-08-08 11:01:00+00:00,2025-08-08T14:11:00Z,166,B737-800,Mainline,63,81,51,142,-5.0,0.8554216867469879
UA,1989,2025-08-12,ORD,BOS,2025-08-12 18:20:00+00:00,2025-08-12T21:59:00Z,2025-08-12 20:32:00+00:00,2025-08-13T00:13:00Z,179,B737-900,Mainline,70,59,56,156,132.0,0.8715083798882681
OO,5930,2025-08-10,ORD,FAR,2025-08-10 13:20:00+00:00,2025-08-10T15:29:00Z,2025-08-10 13:25:00+00:00,2025-08-10T15:50:00Z,50,CRJ-200,Express,107,30,29,38,5.0,0.76
UA,1793,2025-08-12,ORD,MSP,2025-08-12 08:50:00+00:00,2025-08-12T10:31:00Z,2025-08-12 09:29:00+00:00,2025-08-12T10:57:00Z,150,A320-200,Mainline,78,139,46,126,39.0,0.84
UA,2677,2025-08-05,ORD,IAD,2025-08-05 17:56:00+00:00,2025-08-05T20:55:00Z,2025-08-05 17:52:00+00:00,2025-08-05T21:02:00Z,176,B757-200,Mainline,246,268,122,172,-4.0,0.9772727272727273
OO,5521,2025-08-01,ORD,ATW,2025-08-01 15:35:00+00:00,2025-08-01T16:48:00Z,2025-08-01 16:36:00+00:00,2025-08-01T17:41:00Z,50,CRJ-200,Express,-28,59,29,47,61.0,0.94
UA,2487,2025-08-15,ORD,PHL,2025-08-15 21:23:00+00:00,2025-08-16T00:30:00Z,2025-08-15 22:32:00+00:00,2025-08-16T01:32:00Z,179,B737-900,Mainline,3,49,56,83,69.0,0.46368715083798884
YX,3614,2025-08-09,ORD,MCI,2025-08-09 21:25:00+00:00,2025-08-09T23:14:00Z,2025-08-09 21:33:00+00:00,2025-08-09T23:11:00Z,76,ERJ-175,Express,95,95,34,67,8.0,0.881578947368421
YX,3708,2025-08-15,ORD,BNA,2025-08-15 12:45:00+00:00,2025-08-15T14:26:00Z,2025-08-15 12:41:00+00:00,2025-08-15T14:11:00Z,70,ERJ-170,Express,40,47,34,70,-4.0,1.0
UA,1657,2025-08-08,ORD,LGA,2025-08-08 07:00:00+00:00,2025-08-08T10:18:00Z,2025-08-08 06:55:00+00:00,2025-08-08T10:11:00Z,166,B737-800,Mainline,835,784,51,167,-5.0,1.0
OO,5915,2025-08-10,ORD,LNK,2025-08-10 16:50:00+00:00,2025-08-10T18:45:00Z,2025-08-10 17:54:00+00:00,2025-08-10T19:32:00Z,50,CRJ-200,Express,43,46,29,49,64.0,0.98
OO,5790,2025-08-01,ORD,CRW,2025-08-01 18:20:00+00:00,2025-08-01T21:04:00Z,2025-08-01 19:14:00+00:00,2025-08-01T21:55:00Z,50,CRJ-200,Express,-7,36,29,50,54.0,1.0
UA,2427,2025-08-12,ORD,CVG,2025-08-12 18:10:00+00:00,2025-08-12T20:34:00Z,2025-08-12 18:21:00+00:00,2025-08-12T22:26:00Z,126,B737-700,Mainline,79,46,43,86,11.0,0.6825396825396826
UA,265,2025-08-15,ORD,YYZ,2025-08-15 17:55:00+00:00,2025-08-15T20:44:00Z,2025-08-15 17:59:00+00:00,2025-08-15T20:37:00Z,126,A319-100,Mainline,69,90,52,103,4.0,0.8174603174603174
UA,1996,2025-08-08,ORD,SJU,2025-08-08 08:49:00+00:00,2025-08-08T14:44:00Z,2025-08-08 08:48:00+00:00,2025-08-08T14:28:00Z,200,A321-2NX,Mainline,204,224,68,200,-1.0,1.0
OO,5229,2025-08-14,ORD,ILM,2025-08-14 11:59:00+00:00,2025-08-14T15:24:00Z,2025-08-14 11:53:00+00:00,2025-08-14T15:06:00Z,76,ERJ-175,Express,39,53,34,68,-6.0,0.8947368421052632
UA,1361,2025-08-13,ORD,STL,2025-08-13 21:20:00+00:00,2025-08-13T22:45:00Z,2025-08-13 21:27:00+00:00,2025-08-13T22:37:00Z,126,A319-100,Mainline,69,64,43,117,7.0,0.9285714285714286
