company_id,flight_number,scheduled_departure_date_local,scheduled_arrival_station_code,scheduled_ground_time_minutes,minimum_turn_minutes,total_seats,tight_ground_time,transfer_bags,origin_bags,total_bags_per_seat,total_pax_booked,total_ssr_count,ssr_per_pax,tight_ground_time_norm,total_bags_per_seat_norm,ssr_per_pax_norm,difficulty_score,daily_difficulty_rank,difficulty_classification
G7,4610,2025-08-15,XNA,59,29,50,0,23,5,0.56,47,0.0,0.0,0.0,0.3592451523545706,0.0,0.11974838411819021,402,Medium
UA,1414,2025-08-13,BOI,59,46,150,0,63,29,0.6133333333333333,127,5.0,0.03937007874015748,0.0,0.33080771285637955,0.28308961379827524,0.20463244221821827,178,Medium
UA,1156,2025-08-13,MSY,73,56,179,0,28,20,0.2681564245810056,68,1.0,0.014705882352941176,0.0,0.12208205770234201,0.10574229691876752,0.07594145154036984,489,Easy
UA,247,2025-08-13,OMA,69,46,150,0,51,10,0.4066666666666667,98,1.0,0.01020408163265306,0.0,0.20583806887172762,0.07337220602526726,0.09307009163233164,466,Easy
UA,2378,2025-08-08,LAX,77,62,200,0,106,50,0.78,188,4.0,0.02127659574468085,0.0,0.5172012630879176,0.12765957446808512,0.2149536125186676,147,Medium
OO,5930,2025-08-14,FAR,205,29,50,0,22,25,0.94,48,6.0,0.125,0.0,0.7028548451950141,0.8958333333333334,0.5328960595094491,5,Difficult
YX,3628,2025-08-11,IND,45,34,76,0,35,30,0.8552631578947368,76,2.0,0.02631578947368421,0.0,0.5814717286179674,0.07894736842105263,0.22013969901300667,74,Difficult
OO,5564,2025-08-01,SBN,57,29,50,0,35,1,0.72,47,0.0,0.0,0.0,0.45103554428070575,0.0,0.15034518142690192,400,Medium
UA,2361,2025-08-13,LAX,662,66,234,0,47,55,0.4358974358974359,125,0.0,0.0,0.0,0.2235136760854377,0.0,0.0745045586951459,494,Easy
YX,3520,2025-08-05,CVG,162,34,76,0,28,3,0.40789473684210525,55,1.0,0.01818181818181818,0.0,0.2488018652044385,0.11948051948051946,0.122760794894986,422,Easy
G7,4546,2025-08-06,AVP,-5,29,50,34,20,8,0.56,46,2.0,0.043478260869565216,0.2905982905982906,0.41215437788018433,0.2919254658385093,0.33155937810566144,50,Difficult
OO,5362,2025-08-14,MKE,90,29,50,0,38,17,1.1,48,3.0,0.0625,0.0,0.8250904704463209,0.4479166666666667,0.4243357123709959,14,Difficult
OO,5251,2025-08-03,ASE,68,34,70,0,28,30,0.8285714285714286,62,3.0,0.04838709677419355,0.0,0.5945378151260505,0.21774193548387097,0.27075991686997386,56,Difficult
G7,4429,2025-08-07,FSD,57,29,50,0,21,3,0.48,48,2.0,0.041666666666666664,0.0,0.2878787878787879,0.16666666666666666,0.15151515151515152,311,Medium
UA,1899,2025-08-01,YYC,70,52,126,0,38,51,0.7063492063492064,127,7.0,0.05511811023622047,0.0,0.4407656401214535,0.49606299212598426,0.3122762107491459,46,Difficult
UA,2137,2025-08-03,SLC,68,51,166,0,58,31,0.536144578313253,152,2.0,0.013157894736842105,0.0,0.3795180722891566,0.05921052631578947,0.1462428662016487,444,Easy
UA,1576,2025-08-10,LGA,80,51,166,0,13,37,0.30120481927710846,166,2.0,0.012048192771084338,0.0,0.17478610092544092,0.11726907630522089,0.09735172574355394,523,Easy
UA,2004,2025-08-11,SYR,84,46,150,0,82,19,0.6733333333333333,147,7.0,0.047619047619047616,0.0,0.44845028970845213,0.14285714285714285,0.19710247752186497,115,Difficult
UA,343,2025-08-02,SFO,1079,62,200,0,34,94,0.64,201,2.0,0.009950248756218905,0.0,0.3048780487804878,0.06965174129353234,0.12484326335800672,428,Easy
UA,2370,2025-08-11,BOS,79,56,179,0,57,75,0.7374301675977654,179,5.0,0.027932960893854747,0.0,0.49531590475510306,0.08379888268156424,0.1930382624788891,128,Difficult
UA,2189,2025-08-01,LGA,96,60,166,0,7,56,0.3795180722891566,166,1.0,0.006024096385542169,0.0,0.19488071145569077,0.054216867469879526,0.08303252630852344,537,Easy
UA,481,2025-08-12,RNO,95,43,126,0,50,23,0.5793650793650794,70,3.0,0.04285714285714286,0.0,0.36747550163322446,0.34285714285714286,0.23677754816345575,134,Medium
UA,1209,2025-08-15,EWR,67,56,179,0,71,51,0.6815642458100558,170,4.0,0.023529411764705882,0.0,0.4465878843683746,0.03529411764705882,0.16062733400514448,233,Medium
UA,2177,2025-08-15,MSN,9,43,126,34,86,0,0.6825396825396826,121,2.0,0.01652892561983471,0.13654618473895583,0.44728872620146853,0.024793388429752067,0.20287609979005883,113,Difficult
UA,909,2025-08-13,AMS,280,95,243,0,123,97,0.9053497942386831,243,9.0,0.037037037037037035,0.0,0.5073876797450874,0.26631393298059963,0.257900537575229,79,Difficult
UA,1584,2025-08-05,LAX,711,62,200,0,13,146,0.795,200,1.0,0.005,0.0,0.582239540607055,0.032857142857142856,0.20503222782139927,209,Medium
YX,3690,2025-08-13,IND,57,34,76,0,39,13,0.6842105263157895,66,0.0,0.0,0.0,0.37366657208371357,0.0,0.12455552402790453,403,Easy
YX,3542,2025-08-15,YUL,53,42,76,0,34,22,0.7368421052631579,74,2.0,0.02702702702702703,0.0,0.486304490450503,0.04054054054054054,0.17561501033034785,191,Medium
OO,4791,2025-08-14,SBN,56,29,50,0,25,1,0.52,49,2.0,0.04081632653061224,0.0,0.38198632891033374,0.2925170068027211,0.22483444523768492,224,Medium
UA,2011,2025-08-11,YVR,67,60,150,0,84,53,0.9133333333333333,144,1.0,0.006944444444444444,0.0,0.6239308378552377,0.020833333333333332,0.21492139039619038,83,Difficult
UA,1946,2025-08-15,LGA,105,51,166,0,12,46,0.3493975903614458,160,6.0,0.0375,0.0,0.20792936288088643,0.05625,0.08805978762696215,495,Easy
OO,5292,2025-08-02,MTY,756,42,76,0,12,47,0.7763157894736842,75,2.0,0.02666666666666667,0.0,0.38799743260590497,0.18666666666666668,0.1915546997575239,210,Medium
UA,845,2025-08-12,GRU,300,155,318,0,244,72,0.9937106918238994,211,12.0,0.05687203791469194,0.0,0.6719992252088854,0.4549763033175355,0.37565850950880697,20,Difficult
YX,3525,2025-08-13,YYZ,58,42,76,0,26,21,0.618421052631579,75,1.0,0.013333333333333334,0.0,0.33388421512764865,0.09587301587301589,0.14325241033355485,337,Medium
UA,2677,2025-08-06,IAD,231,122,176,0,38,38,0.4318181818181818,145,1.0,0.006896551724137931,0.0,0.3143197528278173,0.04630541871921182,0.12020839051567639,425,Easy
UA,767,2025-08-13,DEN,22,62,200,40,55,24,0.395,185,1.0,0.005405405405405406,0.06220839813374806,0.19878333090485212,0.038867438867438875,0.09995305596867969,455,Easy
OO,5026,2025-08-13,JST,40,29,50,0,23,13,0.72,41,3.0,0.07317073170731707,0.0,0.39530817426781284,0.5261324041811847,0.3071468594829992,32,Difficult
OO,5493,2025-08-05,ATW,106,29,50,0,28,25,1.06,48,0.0,0.0,0.0,0.8105004101722724,0.0,0.27016680339075744,84,Difficult
G7,4519,2025-08-06,SCE,70,29,50,0,12,3,0.3,41,0.0,0.0,0.0,0.21370967741935482,0.0,0.07123655913978494,487,Easy
OO,4791,2025-08-04,SBN,56,29,50,0,23,1,0.48,45,0.0,0.0,0.0,0.2947216428686026,0.0,0.09824054762286753,512,Easy
UA,592,2025-08-03,JAC,57,43,126,0,71,41,0.8888888888888888,125,1.0,0.008,0.0,0.638888888888889,0.036000000000000004,0.224962962962963,156,Medium
G7,4590,2025-08-01,MDT,42,29,50,0,22,4,0.52,49,1.0,0.02040816326530612,0.0,0.3005695065986375,0.18367346938775508,0.16141432532879754,370,Medium
YX,3464,2025-08-13,PIT,142,39,76,0,36,10,0.6052631578947368,74,0.0,0.0,0.0,0.3259277437364356,0.0,0.10864258124547854,434,Easy
OO,5963,2025-08-14,BDL,59,34,70,0,28,18,0.6571428571428571,69,5.0,0.07246376811594203,0.0,0.4867597219828824,0.5193236714975845,0.33536113116015565,48,Difficult
OO,5447,2025-08-10,PVD,71,34,70,0,31,15,0.6571428571428571,57,0.0,0.0,0.0,0.43271221532091103,0.0,0.14423740510697033,437,Easy
UA,1495,2025-08-05,TVC,57,46,150,0,17,4,0.14,68,0.0,0.0,0.0,0.018047579983593125,0.0,0.006015859994531042,524,Easy
UA,2100,2025-08-08,SLC,68,51,166,0,65,45,0.6626506024096386,165,2.0,0.012121212121212121,0.0,0.43626391889646,0.07272727272727274,0.16966373054124426,301,Medium
UA,2640,2025-08-05,DCA,119,51,126,0,10,17,0.21428571428571427,59,2.0,0.03389830508474576,0.0,0.08203445447087776,0.22276029055690072,0.10159824834259283,458,Easy
UA,224,2025-08-01,BZN,206,60,166,0,62,67,0.7771084337349398,161,3.0,0.018633540372670808,0.0,0.4939999429923324,0.16770186335403728,0.2205672687821232,190,Medium
OO,5392,2025-08-15,OKC,165,39,76,0,39,9,0.631578947368421,58,0.0,0.0,0.0,0.41067393206006697,0.0,0.136891310686689,326,Medium
OO,5984,2025-08-05,BIL,78,34,76,0,32,7,0.5131578947368421,72,3.0,0.041666666666666664,0.0,0.33947152540909287,0.2738095238095238,0.20442701640620556,212,Medium
OO,5737,2025-08-13,OMA,47,34,76,0,24,1,0.32894736842105265,41,1.0,0.024390243902439025,0.0,0.15884184452096292,0.17537746806039492,0.11140643752711928,431,Easy
G7,4552,2025-08-03,DAY,74,29,50,0,32,0,0.64,44,1.0,0.022727272727272728,0.0,0.4558823529411765,0.10227272727272728,0.1860516934046346,282,Medium
G7,4476,2025-08-07,CAE,110,29,50,0,10,35,0.9,50,4.0,0.08,0.0,0.6060606060606062,0.32,0.30868686868686873,20,Difficult
G7,4482,2025-08-02,TUL,40,29,50,0,42,4,0.92,50,0.0,0.0,0.0,0.47560975609756095,0.0,0.15853658536585366,319,Medium
OO,5557,2025-08-12,OKC,73,34,76,0,30,12,0.5526315789473685,73,1.0,0.0136986301369863,0.0,0.3478276886804038,0.1095890410958904,0.15247224325876474,301,Medium
UA,2683,2025-08-11,SAN,95,51,166,0,27,67,0.5662650602409639,166,4.0,0.024096385542168676,0.0,0.37016529282770755,0.07228915662650603,0.14748481648473785,337,Medium
OO,5557,2025-08-13,OKC,73,34,76,0,51,6,0.75,76,0.0,0.0,0.0,0.4134489290397785,0.0,0.13781630967992617,358,Medium
YX,3716,2025-08-13,CMH,47,34,76,0,33,21,0.7105263157894737,76,0.0,0.0,0.0,0.3895795148661395,0.0,0.12985983828871317,389,Medium
UA,1616,2025-08-04,GRR,88,56,179,0,89,8,0.5418994413407822,138,5.0,0.036231884057971016,0.0,0.3361832452427026,0.2173913043478261,0.18452484986350956,183,Medium
YX,3440,2025-08-15,YYZ,539,42,76,0,21,22,0.5657894736842105,70,2.0,0.02857142857142857,0.0,0.36340483306604465,0.04285714285714286,0.1354206586410625,332,Medium
OO,5836,2025-08-10,TYS,45,29,50,0,18,15,0.66,50,0.0,0.0,0.0,0.4347826086956523,0.0,0.1449275362318841,432,Easy
OO,5493,2025-08-06,ATW,104,29,50,0,31,18,0.98,48,0.0,0.0,0.0,0.7327188940092165,0.0,0.2442396313364055,136,Medium
UA,1775,2025-08-10,FLL,75,56,179,0,31,71,0.5698324022346368,178,3.0,0.016853932584269662,0.0,0.36944376973524407,0.16404494382022472,0.17782957118515627,348,Medium
UA,2653,2025-08-05,RDU,69,56,179,0,49,55,0.5810055865921788,168,3.0,0.017857142857142856,0.0,0.3979129334879309,0.1173469387755102,0.17175329075448034,295,Medium
G7,4552,2025-08-15,DAY,79,29,50,0,16,2,0.36,38,0.0,0.0,0.0,0.21554709141274236,0.0,0.07184903047091412,525,Easy
UA,1599,2025-08-11,DEN,186,93,364,0,71,173,0.6703296703296703,364,5.0,0.013736263736263736,0.0,0.446254104582073,0.04120879120879121,0.16248763193028806,243,Medium
UA,2666,2025-08-07,DEN,470,62,200,0,55,90,0.725,200,3.0,0.015,0.0,0.47348484848484856,0.06,0.17782828282828286,201,Medium
YX,3536,2025-08-11,YUL,735,42,76,0,33,16,0.6447368421052632,67,2.0,0.029850746268656716,0.0,0.42754142322605015,0.08955223880597016,0.17236455401067344,200,Medium
YX,3409,2025-08-07,YOW,50,42,76,0,32,22,0.7105263157894737,74,1.0,0.013513513513513514,0.0,0.4625199362041468,0.05405405405405406,0.17219133008606693,223,Medium
G7,4590,2025-08-14,MDT,-20,29,50,49,28,16,0.88,50,2.0,0.04,0.17883211678832117,0.657016485725774,0.2866666666666667,0.3741717563935873,24,Difficult
UA,763,2025-08-01,PWM,79,51,166,0,31,71,0.6144578313253012,166,5.0,0.030120481927710843,0.0,0.37163298463643357,0.27108433734939763,0.2142391073286104,213,Medium
UA,2195,2025-08-08,BDL,63,51,166,0,36,25,0.3674698795180723,142,0.0,0.0,0.0,0.23267409007811202,0.0,0.07755803002603734,528,Easy
UA,1989,2025-08-12,BOS,70,56,179,0,58,26,0.4692737430167598,156,0.0,0.0,0.0,0.2865637635330829,0.0,0.09552125451102762,410,Easy
OO,5930,2025-08-10,FAR,107,29,50,0,18,29,0.94,38,0.0,0.0,0.0,0.6376811594202898,0.0,0.21256038647342992,249,Medium
UA,1793,2025-08-12,MSP,78,46,150,0,13,20,0.22,126,0.0,0.0,0.0,0.10335977601493235,0.0,0.034453258671644116,468,Easy
UA,2677,2025-08-05,IAD,246,122,176,0,89,62,0.8579545454545454,172,2.0,0.011627906976744186,0.0,0.6364661794317249,0.07641196013289037,0.23762604652153843,140,Medium
OO,5521,2025-08-01,ATW,-28,29,50,57,28,20,0.96,47,1.0,0.02127659574468085,0.27403846153846156,0.6315947894991876,0.19148936170212766,0.36570753757992563,18,Difficult
UA,2487,2025-08-15,PHL,3,56,179,53,37,12,0.2737430167597765,83,2.0,0.024096385542168676,0.21285140562248997,0.15357228524118294,0.03614457831325302,0.1341894230589753,338,Medium
YX,3614,2025-08-09,MCI,95,34,76,0,51,4,0.7236842105263158,67,0.0,0.0,0.0,0.4078947368421053,0.0,0.13596491228070176,404,Easy
YX,3708,2025-08-15,BNA,40,34,70,0,14,23,0.5285714285714286,70,3.0,0.04285714285714286,0.0,0.33666402849228333,0.0642857142857143,0.13364991425933254,350,Medium
UA,1657,2025-08-08,LGA,835,51,166,0,17,52,0.41566265060240964,167,1.0,0.005988023952095809,0.0,0.2659132458035566,0.035928143712574856,0.10061379650537715,499,Easy
OO,5915,2025-08-10,LNK,43,29,50,0,17,31,0.96,49,1.0,0.02040816326530612,0.0,0.6521739130434783,0.19863945578231293,0.2836044562752637,94,Difficult
OO,5790,2025-08-01,CRW,-7,29,50,36,28,18,0.92,50,2.0,0.04,0.17307692307692307,0.6015015819627739,0.36000000000000004,0.37819283501323236,13,Difficult
UA,2427,2025-08-12,CVG,79,43,126,0,29,9,0.30158730158730157,86,1.0,0.011627906976744186,0.0,0.16332244517032196,0.09302325581395349,0.08544856699475849,423,Easy
UA,265,2025-08-15,YYZ,69,52,126,0,32,18,0.3968253968253968,103,2.0,0.019417475728155338,0.0,0.24200578199885678,0.029126213592233007,0.0903773318636966,493,Easy
UA,1996,2025-08-08,SJU,204,68,200,0,49,72,0.605,200,7.0,0.035,0.0,0.3965015788598969,0.21000000000000002,0.20216719295329896,186,Medium
OO,5229,2025-08-14,ILM,39,34,76,0,27,16,0.5657894736842105,68,1.0,0.014705882352941176,0.0,0.41696823482106954,0.1053921568627451,0.17412013056127154,377,Medium
UA,1361,2025-08-13,STL,69,43,126,0,71,21,0.7301587301587301,117,2.0,0.017094017094017096,0.0,0.401451075354616,0.12291412291412293,0.174788399422913,250,Medium
UA,1030,2025-08-09,ABQ,78,43,126,0,78,27,0.8333333333333334,101,2.0,0.019801980198019802,0.0,0.481981981981982,0.11734506784011733,0.19977568327403308,208,Medium
OO,5020,2025-08-03,FOD,60,29,50,0,7,6,0.26,25,0.0,0.0,0.0,0.17647058823529416,0.0,0.05882352941176472,543,Easy
YX,3718,2025-08-10,MSN,63,39,76,0,50,7,0.75,70,1.0,0.014285714285714285,0.0,0.5,0.13904761904761906,0.21301587301587302,248,Medium
OO,5538,2025-08-09,HSV,94,29,50,0,16,6,0.44,20,3.0,0.15,0.0,0.21621621621621623,0.8888888888888888,0.36836836836836834,13,Difficult
UA,1778,2025-08-10,OMA,62,43,126,0,62,10,0.5714285714285714,118,0.0,0.0,0.0,0.3706004140786749,0.0,0.12353347135955829,485,Easy
UA,2137,2025-08-07,SLC,957,51,166,0,44,42,0.5180722891566265,166,1.0,0.006024096385542169,0.0,0.31672143117926255,0.024096385542168676,0.11360593890714375,450,Easy
UA,2137,2025-08-13,SLC,68,51,166,0,35,74,0.6566265060240963,138,3.0,0.021739130434782608,0.0,0.3569867404924959,0.15631469979296067,0.1711004800951522,262,Medium
UA,2427,2025-08-05,CVG,84,43,126,0,50,10,0.47619047619047616,107,1.0,0.009345794392523364,0.0,0.3076292042657916,0.06141522029372496,0.12301480818650552,421,Easy
G7,4482,2025-08-11,TUL,-36,29,50,65,25,2,0.54,41,0.0,0.0,0.06442021803766106,0.3509610962935713,0.0,0.13846043811041078,376,Medium
UA,1304,2025-08-05,LAS,18,56,179,38,48,80,0.7150837988826816,179,3.0,0.01675977653631285,0.2360248447204969,0.5134027800055911,0.11013567438148443,0.28652109970252415,75,Difficult
OO,5250,2025-08-15,BNA,65,34,76,0,30,10,0.5263157894736842,70,2.0,0.02857142857142857,0.0,0.3350433736696311,0.04285714285714286,0.12596683884225798,382,Medium
UA,2666,2025-08-10,DEN,515,62,200,0,22,101,0.615,190,2.0,0.010526315789473684,0.0,0.40217391304347827,0.10245614035087719,0.1682100177981185,379,Medium
OO,5568,2025-08-02,MLI,72,29,50,0,51,11,1.24,45,2.0,0.044444444444444446,0.0,0.6707317073170732,0.3111111111111111,0.32728093947606146,24,Difficult
OO,5849,2025-08-09,PWM,117,34,76,0,27,24,0.6710526315789473,70,3.0,0.04285714285714286,0.0,0.37233285917496445,0.25396825396825395,0.2087670377144061,181,Medium
UA,763,2025-08-12,PWM,209,51,166,0,40,63,0.6204819277108434,154,4.0,0.025974025974025976,0.0,0.39769437057609813,0.2077922077922078,0.20182885945610196,200,Medium
YX,3465,2025-08-05,GSP,64,34,76,0,56,18,0.9736842105263158,74,2.0,0.02702702702702703,0.0,0.7361512888044558,0.1776061776061776,0.3045858221368778,62,Difficult
UA,476,2025-08-07,CVG,66,46,150,0,46,26,0.48,126,4.0,0.031746031746031744,0.0,0.2878787878787879,0.12698412698412698,0.1382876382876383,354,Medium
UA,2254,2025-08-08,PDX,535,62,200,0,59,41,0.5,196,4.0,0.02040816326530612,0.0,0.3240817683230846,0.12244897959183673,0.1488435826383071,381,Medium
UA,2427,2025-08-15,CVG,71,43,126,0,35,5,0.31746031746031744,65,2.0,0.03076923076923077,0.0,0.18498274194257572,0.046153846153846156,0.07704552936547396,521,Easy
UA,1491,2025-08-03,DFW,159,46,150,0,30,71,0.6733333333333333,149,5.0,0.03355704697986577,0.0,0.4803921568627451,0.15100671140939598,0.21046628942404702,192,Medium
YX,3628,2025-08-04,IND,59,34,76,0,31,25,0.7368421052631579,73,0.0,0.0,0.0,0.46676011382539445,0.0,0.15558670460846483,316,Medium
UA,2369,2025-08-08,AUS,71,51,166,0,50,40,0.5421686746987951,154,2.0,0.012987012987012988,0.0,0.35316602958284854,0.07792207792207793,0.1436960358349755,393,Medium
OO,5577,2025-08-11,JAX,645,34,76,0,30,19,0.6447368421052632,69,1.0,0.014492753623188406,0.0,0.42754142322605015,0.04347826086956522,0.15700656136520513,281,Medium
UA,422,2025-08-03,ATH,185,155,318,0,132,128,0.8176100628930818,287,8.0,0.027874564459930314,0.0,0.5864779874213837,0.1254355400696864,0.23730450916369003,120,Difficult
UA,1041,2025-08-05,GRR,57,43,126,0,63,5,0.5396825396825397,111,4.0,0.036036036036036036,0.0,0.3623188405797101,0.2368082368082368,0.1997090257959823,226,Medium
UA,1044,2025-08-15,LAX,984,66,234,0,79,72,0.6452991452991453,220,4.0,0.01818181818181818,0.0,0.42053176125198294,0.02727272727272727,0.14926816284157007,276,Medium
UA,944,2025-08-08,FRA,185,155,318,0,185,97,0.8867924528301887,294,5.0,0.017006802721088437,0.0,0.5908573507138579,0.10204081632653063,0.2309660556801295,111,Difficult
UA,1485,2025-08-15,SEA,74,56,179,0,69,70,0.776536312849162,179,9.0,0.05027932960893855,0.0,0.514824393754159,0.07541899441340782,0.1967477960558556,129,Difficult
G7,4491,2025-08-01,CAE,80,29,50,0,23,12,0.7,47,3.0,0.06382978723404255,0.0,0.4359889405124989,0.5744680851063829,0.33681900853962726,28,Difficult
G7,4173,2025-08-06,AVL,112,29,50,0,19,9,0.56,44,1.0,0.022727272727272728,0.0,0.41215437788018433,0.15259740259740262,0.188250593492529,273,Medium
UA,2008,2025-08-13,MCO,1002,51,166,0,48,47,0.572289156626506,163,5.0,0.03067484662576687,0.0,0.3059886347078537,0.22056675430908562,0.17551846300564644,248,Medium
OO,5538,2025-08-13,HSV,76,29,50,0,24,0,0.48,34,0.0,0.0,0.0,0.250182136092088,0.0,0.08339404536402933,480,Easy
UA,2424,2025-08-03,RDU,80,56,179,0,72,34,0.5921787709497207,179,3.0,0.01675977653631285,0.0,0.4207196845218535,0.07541899441340782,0.1653795596450871,355,Medium
OO,5140,2025-08-01,CMX,55,29,50,0,29,17,0.92,48,2.0,0.041666666666666664,0.0,0.6015015819627739,0.375,0.32550052732092466,34,Difficult
G7,4425,2025-08-11,GRR,140,29,50,0,23,0,0.46,50,0.0,0.0,0.0,0.29246758024464276,0.0,0.09748919341488092,518,Easy
UA,1830,2025-08-07,DSM,58,46,150,0,74,10,0.56,150,0.0,0.0,0.0,0.34848484848484856,0.0,0.11616161616161619,437,Easy
G7,4468,2025-08-04,LEX,69,29,50,0,32,4,0.72,43,3.0,0.06976744186046512,0.0,0.45547890261511303,0.4186046511627907,0.29136118459263455,37,Difficult
UA,1811,2025-08-10,MSP,81,60,166,0,89,70,0.9578313253012049,165,8.0,0.048484848484848485,0.0,0.6506024096385543,0.47191919191919196,0.3741738671859154,26,Difficult
G7,4518,2025-08-08,STL,44,29,50,0,65,9,1.48,48,1.0,0.020833333333333332,0.0,1.0,0.125,0.375,6,Difficult
OO,5309,2025-08-11,FWA,-5,34,76,39,17,2,0.25,34,1.0,0.029411764705882353,0.03865213082259663,0.1389221006162053,0.08823529411764706,0.088603175185483,531,Easy
OO,5469,2025-08-02,CVG,82,39,76,0,32,12,0.5789473684210527,76,2.0,0.02631578947368421,0.0,0.26765083440308085,0.18421052631578946,0.15062045357295675,341,Medium
YX,3468,2025-08-13,BGR,47,34,70,0,48,9,0.8142857142857143,68,1.0,0.014705882352941176,0.0,0.4523219749797048,0.10574229691876752,0.18602142396615742,222,Medium
