company_id,flight_number,scheduled_departure_date_local,transfer_bags,origin_bags,transfer_to_origin_ratio
AA,1293,2025-08-08,1,0,
AA,1293,2025-08-10,7,0,
AA,1293,2025-08-11,3,0,
AA,1293,2025-08-13,5,0,
AA,1305,2025-08-02,3,0,
AA,1305,2025-08-07,1,0,
AA,1305,2025-08-08,8,0,
AA,1305,2025-08-09,4,0,
AA,1305,2025-08-15,5,0,
AA,1339,2025-08-01,8,0,
AA,1339,2025-08-14,1,0,
AA,1380,2025-08-02,1,0,
AA,1408,2025-08-07,2,0,
AA,1408,2025-08-13,1,0,
AA,1433,2025-08-10,0,1,0.0
AA,1453,2025-08-01,11,0,
AA,1453,2025-08-02,5,0,
AA,1466,2025-08-01,6,0,
AA,1466,2025-08-02,5,0,
AA,1520,2025-08-02,1,0,
AA,1539,2025-08-13,5,0,
AA,1543,2025-08-03,1,0,
AA,1545,2025-08-06,10,0,
AA,1545,2025-08-12,4,0,
AA,1555,2025-08-03,2,0,
AA,1555,2025-08-11,1,0,
AA,1564,2025-08-09,1,0,
AA,1568,2025-08-08,9,0,
AA,1568,2025-08-11,2,0,
AA,1632,2025-08-05,1,0,
AA,1632,2025-08-12,2,0,
AA,1632,2025-08-13,3,0,
AA,1676,2025-08-01,4,0,
AA,1676,2025-08-04,2,0,
AA,1709,2025-08-05,2,0,
AA,1710,2025-08-04,4,0,
AA,1715,2025-08-14,1,0,
AA,1747,2025-08-02,1,0,
AA,1784,2025-08-07,0,1,0.0
AA,1831,2025-08-02,1,0,
AA,1848,2025-08-15,7,0,
AA,1861,2025-08-14,3,0,
AA,1924,2025-08-02,1,0,
AA,1924,2025-08-10,2,0,
AA,1926,2025-08-02,2,0,
AA,1926,2025-08-03,3,0,
AA,1926,2025-08-05,1,0,
AA,1926,2025-08-08,2,0,
AA,1926,2025-08-11,1,0,
AA,1926,2025-08-12,6,0,
AA,1926,2025-08-14,3,0,
AA,1991,2025-08-01,1,0,
AA,2013,2025-08-03,1,0,
AA,2097,2025-08-13,1,0,
AA,2113,2025-08-07,1,0,
AA,2126,2025-08-01,1,0,
AA,2126,2025-08-04,2,0,
AA,2131,2025-08-02,1,0,
AA,2144,2025-08-02,2,0,
AA,2165,2025-08-09,4,0,
AA,2165,2025-08-10,2,0,
AA,2167,2025-08-01,4,0,
AA,2223,2025-08-10,1,0,
AA,2236,2025-08-01,1,0,
AA,2236,2025-08-03,1,0,
AA,2243,2025-08-07,1,0,
AA,2254,2025-08-11,3,0,
AA,2281,2025-08-01,1,0,
AA,2281,2025-08-05,6,0,
AA,2281,2025-08-07,1,0,
AA,2281,2025-08-08,6,0,
AA,2281,2025-08-14,2,0,
AA,2281,2025-08-15,1,0,
AA,2285,2025-08-07,2,0,
AA,2295,2025-08-13,1,0,
AA,2309,2025-08-03,1,0,
AA,2321,2025-08-03,2,0,
AA,2323,2025-08-09,1,0,
AA,2323,2025-08-14,1,0,
AA,2346,2025-08-12,1,0,
AA,2360,2025-08-02,1,0,
AA,2363,2025-08-15,2,0,
AA,2364,2025-08-08,1,0,
AA,2364,2025-08-13,0,4,0.0
AA,2366,2025-08-02,1,0,
AA,2398,2025-08-07,2,0,
AA,2443,2025-08-07,2,0,
AA,2461,2025-08-08,0,3,0.0
AA,2461,2025-08-10,4,0,
AA,2477,2025-08-12,1,0,
AA,2500,2025-08-07,3,0,
AA,2500,2025-08-13,2,0,
AA,2500,2025-08-15,2,0,
AA,2504,2025-08-01,6,0,
AA,2530,2025-08-07,1,0,
AA,2537,2025-08-08,1,0,
AA,2545,2025-08-07,2,0,
AA,2545,2025-08-08,4,0,
AA,2545,2025-08-09,2,0,
AA,2545,2025-08-15,3,0,
AA,2549,2025-08-03,2,0,
AA,2600,2025-08-02,9,0,
AA,2624,2025-08-01,2,0,
AA,2624,2025-08-11,1,0,
AA,2634,2025-08-07,2,0,
AA,2634,2025-08-11,5,0,
AA,2682,2025-08-03,1,0,
AA,2682,2025-08-09,1,0,
AA,2682,2025-08-13,2,0,
AA,2755,2025-08-07,1,0,
AA,2755,2025-08-09,2,0,
AA,2779,2025-08-01,8,0,
AA,2813,2025-08-10,1,0,
AA,2838,2025-08-03,1,0,
AA,2840,2025-08-08,1,0,
AA,2840,2025-08-10,2,0,
AA,2842,2025-08-10,7,0,
AA,2852,2025-08-01,1,0,
AA,2852,2025-08-13,4,0,
AA,2877,2025-08-02,1,0,
AA,2888,2025-08-07,1,0,
AA,2902,2025-08-07,1,0,
AA,2902,2025-08-11,1,0,
AA,2912,2025-08-01,3,0,
AA,2921,2025-08-07,5,0,
AA,2921,2025-08-12,4,0,
AA,2921,2025-08-13,3,0,
AA,2923,2025-08-01,1,0,
AA,2923,2025-08-02,9,0,
AA,2923,2025-08-04,5,0,
AA,2923,2025-08-09,1,0,
AA,2923,2025-08-11,7,0,
AA,2923,2025-08-15,1,0,
AA,2970,2025-08-02,1,0,
AA,2970,2025-08-08,1,0,
AA,2975,2025-08-07,1,0,
AA,2976,2025-08-02,2,0,
AA,2976,2025-08-05,1,0,
AA,2976,2025-08-07,2,0,
AA,2976,2025-08-08,1,0,
AA,2976,2025-08-09,2,0,
AA,2976,2025-08-11,1,0,
AA,2976,2025-08-15,2,4,0.5
AA,2977,2025-08-06,1,0,
AA,2977,2025-08-12,3,0,
AA,2977,2025-08-13,9,1,9.0
AA,2977,2025-08-14,4,0,
AA,2977,2025-08-15,11,0,
AA,2999,2025-08-01,1,3,0.3333333333333333
AA,2999,2025-08-15,2,0,
AA,3013,2025-08-15,0,1,0.0
AA,3016,2025-08-11,2,0,
AA,3020,2025-08-01,1,0,
AA,3020,2025-08-02,1,0,
AA,3028,2025-08-01,6,0,
AA,3028,2025-08-03,3,0,
AA,3029,2025-08-01,1,0,
AA,3033,2025-08-13,2,0,
AA,3069,2025-08-07,10,0,
AA,3069,2025-08-12,2,0,
AA,3069,2025-08-14,4,0,
AA,3105,2025-08-01,2,0,
AA,3107,2025-08-01,1,0,
AA,3137,2025-08-01,1,0,
AA,3137,2025-08-07,4,0,
AA,3153,2025-08-13,1,0,
AA,3160,2025-08-15,1,0,
AA,3176,2025-08-01,1,0,
AA,3176,2025-08-02,1,0,
AA,3176,2025-08-07,3,0,
AA,3176,2025-08-08,1,0,
AA,3176,2025-08-09,12,0,
AA,3176,2025-08-11,7,0,
AA,3176,2025-08-14,3,0,
AA,3176,2025-08-15,8,0,
AA,3198,2025-08-03,1,0,
AA,3226,2025-08-03,1,0,
AA,3269,2025-08-07,1,0,
AA,3269,2025-08-08,7,0,
AA,3269,2025-08-09,2,0,
AA,3269,2025-08-11,1,0,
AA,3269,2025-08-12,1,0,
AA,3270,2025-08-13,2,0,
AA,3278,2025-08-04,4,0,
AA,3292,2025-08-11,1,0,
AA,3304,2025-08-07,1,0,
AA,3320,2025-08-01,2,0,
AA,3323,2025-08-07,2,0,
AA,3323,2025-08-11,3,0,
AA,3323,2025-08-15,3,0,
AA,3332,2025-08-11,0,1,0.0
AA,3332,2025-08-14,1,0,
AA,3334,2025-08-07,6,0,
AA,3334,2025-08-15,1,0,
AA,3336,2025-08-06,3,0,
AA,3336,2025-08-09,1,0,
AA,3356,2025-08-03,9,0,
AA,3360,2025-08-10,3,0,
AA,3360,2025-08-13,1,0,
AA,3361,2025-08-02,1,0,
AA,3362,2025-08-01,1,0,
AA,3362,2025-08-02,1,0,
AA,3362,2025-08-03,1,0,
AA,3365,2025-08-09,1,0,
AA,3365,2025-08-14,0,3,0.0
AA,3367,2025-08-07,1,0,
AA,3367,2025-08-09,6,0,
AA,3368,2025-08-09,2,0,
AA,3377,2025-08-01,6,0,
AA,3377,2025-08-07,10,0,
AA,3382,2025-08-07,3,0,
AA,3399,2025-08-03,2,0,
AA,3402,2025-08-03,2,0,
AA,3402,2025-08-07,1,0,
AA,3402,2025-08-15,1,0,
AA,3410,2025-08-07,1,0,
AA,3412,2025-08-08,2,0,
AA,3414,2025-08-09,9,0,
AA,3415,2025-08-05,2,0,
AA,3432,2025-08-01,1,0,
AA,3440,2025-08-13,1,0,
AA,3447,2025-08-07,1,0,
AA,3449,2025-08-07,2,0,
AA,3449,2025-08-15,1,0,
AA,3458,2025-08-13,1,0,
AA,3461,2025-08-09,6,0,
AA,3463,2025-08-01,2,0,
AA,3466,2025-08-03,4,0,
AA,3471,2025-08-14,1,0,
AA,3471,2025-08-15,1,0,
AA,3484,2025-08-09,5,0,
AA,3484,2025-08-10,1,0,
AA,3491,2025-08-01,2,0,
AA,3491,2025-08-13,1,0,
AA,3492,2025-08-12,2,0,
AA,3501,2025-08-02,4,0,
AA,3501,2025-08-03,3,0,
AA,3514,2025-08-07,1,0,
AA,3514,2025-08-10,4,0,
AA,3519,2025-08-02,2,0,
AA,3519,2025-08-10,2,0,
AA,3521,2025-08-13,2,0,
AA,3528,2025-08-08,1,0,
AA,3528,2025-08-11,1,0,
AA,3530,2025-08-02,1,0,
AA,3538,2025-08-15,1,0,
AA,3542,2025-08-11,2,0,
AA,3544,2025-08-01,3,0,
AA,3544,2025-08-02,1,0,
AA,3544,2025-08-07,3,0,
AA,3552,2025-08-01,1,0,
AA,3561,2025-08-14,2,0,
AA,3568,2025-08-07,2,0,
AA,3568,2025-08-09,4,0,
AA,3570,2025-08-13,10,0,
AA,3570,2025-08-15,3,0,
AA,3576,2025-08-13,2,0,
AA,3578,2025-08-01,3,0,
AA,3578,2025-08-15,1,0,
AA,3579,2025-08-13,4,2,2.0
AA,3600,2025-08-08,3,0,
AA,3600,2025-08-12,2,0,
AA,3602,2025-08-01,2,0,
AA,3602,2025-08-03,1,0,
AA,3603,2025-08-01,2,0,
AA,3607,2025-08-01,1,0,
AA,3610,2025-08-10,2,0,
AA,3612,2025-08-07,7,0,
AA,3615,2025-08-06,5,0,
AA,3615,2025-08-10,1,0,
AA,3619,2025-08-07,2,0,
AA,3619,2025-08-08,2,0,
AA,3619,2025-08-13,2,0,
AA,3619,2025-08-14,1,0,
AA,3623,2025-08-06,2,0,
AA,3623,2025-08-10,2,0,
AA,3644,2025-08-07,1,0,
AA,3645,2025-08-05,1,0,
AA,3645,2025-08-07,2,0,
AA,3648,2025-08-11,2,0,
AA,3650,2025-08-09,2,0,
AA,3650,2025-08-13,1,0,
AA,3650,2025-08-14,4,0,
AA,3653,2025-08-10,2,0,
AA,3663,2025-08-03,1,0,
AA,3663,2025-08-05,8,0,
AA,3663,2025-08-09,2,0,
AA,3663,2025-08-14,3,0,
AA,3684,2025-08-01,4,0,
AA,3684,2025-08-02,15,0,
AA,3684,2025-08-03,5,0,
AA,3684,2025-08-04,1,0,
AA,3684,2025-08-05,4,0,
AA,3687,2025-08-01,1,0,
AA,3687,2025-08-02,2,0,
AA,3687,2025-08-03,3,0,
AA,3690,2025-08-03,5,0,
AA,3694,2025-08-03,1,0,
AA,3694,2025-08-06,3,0,
AA,3695,2025-08-07,2,0,
AA,3695,2025-08-14,2,0,
AA,3696,2025-08-08,1,0,
AA,3696,2025-08-09,2,0,
AA,3696,2025-08-10,1,0,
AA,3696,2025-08-15,1,0,
AA,3702,2025-08-02,4,0,
AA,3704,2025-08-10,3,0,
AA,3707,2025-08-07,4,0,
AA,3707,2025-08-09,3,0,
AA,3707,2025-08-10,3,0,
AA,3707,2025-08-11,2,0,
AA,3707,2025-08-15,1,0,
AA,3713,2025-08-01,3,0,
AA,3713,2025-08-02,7,0,
AA,3713,2025-08-04,3,0,
AA,3716,2025-08-03,2,0,
AA,3717,2025-08-13,1,0,
AA,3720,2025-08-08,1,0,
AA,3721,2025-08-01,1,0,
AA,3736,2025-08-08,0,1,0.0
AA,3741,2025-08-07,1,0,
AA,3745,2025-08-01,1,0,
AA,3747,2025-08-05,2,0,
AA,3747,2025-08-12,1,0,
AA,3748,2025-08-15,6,0,
AA,3750,2025-08-03,3,0,
AA,3762,2025-08-13,1,0,
AA,3774,2025-08-07,3,0,
AA,3774,2025-08-09,1,0,
AA,3774,2025-08-10,1,0,
AA,3774,2025-08-11,2,0,
AA,3774,2025-08-14,1,0,
AA,3775,2025-08-06,4,0,
AA,3775,2025-08-11,5,0,
AA,3778,2025-08-09,6,0,
AA,3779,2025-08-07,8,0,
AA,3779,2025-08-10,1,0,
AA,3779,2025-08-15,1,0,
AA,3786,2025-08-10,2,0,
AA,3792,2025-08-04,1,0,
AA,3792,2025-08-13,4,0,
AA,3793,2025-08-03,12,0,
AA,3804,2025-08-11,3,0,
AA,3804,2025-08-14,1,0,
AA,3809,2025-08-01,1,0,
AA,3813,2025-08-01,1,0,
AA,3843,2025-08-01,2,0,
AA,3848,2025-08-07,2,0,
AA,3848,2025-08-08,1,0,
AA,3848,2025-08-09,3,0,
AA,3848,2025-08-10,4,0,
AA,3848,2025-08-13,3,0,
AA,3848,2025-08-14,1,0,
AA,3848,2025-08-15,2,0,
AA,3854,2025-08-08,2,0,
AA,3854,2025-08-10,1,0,
AA,3865,2025-08-11,2,0,
AA,3898,2025-08-02,2,0,
AA,3899,2025-08-08,4,0,
AA,3899,2025-08-14,1,0,
AA,3905,2025-08-10,1,0,
AA,3907,2025-08-01,7,0,
AA,3907,2025-08-03,3,0,
AA,3911,2025-08-15,2,0,
AA,3918,2025-08-14,4,0,
AA,3921,2025-08-01,3,0,
AA,3921,2025-08-07,1,0,
AA,3941,2025-08-08,1,0,
AA,3941,2025-08-14,1,0,
AA,3945,2025-08-01,2,0,
AA,3945,2025-08-02,2,0,
AA,3945,2025-08-08,4,0,
AA,3945,2025-08-09,3,0,
AA,3950,2025-08-02,10,0,
AA,3959,2025-08-03,2,0,
AA,3960,2025-08-04,4,0,
AA,3963,2025-08-13,2,0,
AA,4004,2025-08-03,1,0,
AA,4020,2025-08-07,1,0,
AA,4035,2025-08-03,21,0,
AA,4040,2025-08-11,2,0,
AA,4041,2025-08-10,1,0,
AA,4042,2025-08-07,1,0,
AA,4076,2025-08-10,2,0,
AA,4091,2025-08-01,1,0,
AA,4104,2025-08-07,1,0,
AA,4104,2025-08-13,2,0,
AA,4105,2025-08-01,1,0,
AA,4105,2025-08-02,1,0,
AA,4118,2025-08-06,1,0,
AA,4137,2025-08-02,5,0,
AA,4137,2025-08-05,2,0,
AA,4137,2025-08-06,3,0,
AA,4137,2025-08-07,5,0,
AA,4137,2025-08-08,2,0,
AA,4137,2025-08-10,5,0,
AA,4137,2025-08-11,2,0,
AA,4137,2025-08-12,4,0,
AA,4137,2025-08-13,3,0,
AA,4140,2025-08-07,1,0,
AA,4140,2025-08-08,3,0,
AA,4140,2025-08-10,1,0,
AA,4140,2025-08-15,2,0,
AA,4145,2025-08-14,1,0,
AA,4146,2025-08-09,1,0,
AA,4149,2025-08-02,3,0,
AA,4149,2025-08-04,2,0,
AA,4156,2025-08-08,3,0,
AA,4156,2025-08-14,1,0,
AA,4156,2025-08-15,1,0,
AA,4160,2025-08-08,2,0,
AA,4178,2025-08-04,1,0,
AA,4219,2025-08-01,1,0,
AA,4219,2025-08-02,1,0,
AA,4219,2025-08-11,1,0,
AA,4228,2025-08-01,6,0,
AA,4231,2025-08-09,1,0,
AA,4241,2025-08-04,6,0,
AA,4253,2025-08-02,4,0,
AA,4256,2025-08-07,0,1,0.0
AA,4267,2025-08-01,1,0,
AA,4267,2025-08-09,2,0,
AA,4271,2025-08-01,2,0,
AA,4271,2025-08-03,1,0,
AA,4280,2025-08-05,3,0,
AA,4281,2025-08-01,1,0,
AA,4281,2025-08-10,1,0,
AA,4284,2025-08-07,2,0,
AA,4303,2025-08-11,1,0,
AA,4310,2025-08-01,2,0,
AA,4310,2025-08-02,2,0,
AA,4321,2025-08-01,1,0,
AA,4321,2025-08-02,1,0,
AA,4321,2025-08-12,2,0,
AA,4326,2025-08-13,1,0,
AA,4344,2025-08-06,1,0,
AA,4344,2025-08-07,13,0,
AA,4344,2025-08-08,11,0,
AA,4344,2025-08-09,4,0,
AA,4344,2025-08-10,1,0,
AA,4344,2025-08-14,1,0,
AA,4344,2025-08-15,6,0,
AA,4354,2025-08-10,1,0,
AA,4397,2025-08-03,3,0,
AA,4442,2025-08-01,1,0,
AA,4442,2025-08-03,1,0,
AA,4445,2025-08-02,1,0,
AA,4450,2025-08-07,7,0,
AA,4450,2025-08-15,3,0,
AA,4454,2025-08-03,2,0,
AA,4455,2025-08-06,2,0,
AA,4455,2025-08-08,2,0,
AA,4455,2025-08-11,1,0,
AA,4455,2025-08-14,2,0,
AA,4466,2025-08-12,1,0,
AA,4467,2025-08-13,2,0,
AA,4483,2025-08-09,4,0,
AA,4483,2025-08-10,2,0,
AA,4483,2025-08-15,2,0,
AA,4503,2025-08-09,2,0,
AA,4504,2025-08-09,1,0,
AA,4504,2025-08-10,2,0,
AA,4516,2025-08-11,2,0,
AA,4530,2025-08-10,4,0,
AA,4539,2025-08-01,3,0,
AA,4539,2025-08-02,1,0,
AA,4543,2025-08-15,1,0,
AA,4547,2025-08-07,2,0,
AA,4566,2025-08-02,4,0,
AA,4572,2025-08-10,1,0,
AA,4583,2025-08-10,1,0,
AA,4590,2025-08-07,1,0,
AA,4590,2025-08-13,1,0,
AA,4591,2025-08-04,8,0,
AA,4594,2025-08-01,6,0,
AA,4603,2025-08-03,2,0,
AA,4603,2025-08-11,3,0,
AA,4689,2025-08-03,1,0,
AA,4729,2025-08-13,2,0,
AA,4737,2025-08-02,4,0,
AA,4737,2025-08-03,2,0,
AA,4737,2025-08-07,2,0,
AA,4737,2025-08-11,2,0,
AA,4740,2025-08-08,3,0,
AA,4741,2025-08-07,3,0,
AA,4746,2025-08-07,1,0,
AA,4776,2025-08-02,8,0,
AA,4776,2025-08-03,3,0,
AA,4776,2025-08-04,2,0,
AA,4806,2025-08-13,2,0,
AA,4897,2025-08-09,7,0,
AA,4899,2025-08-07,3,0,
AA,4900,2025-08-07,3,0,
AA,4900,2025-08-09,3,0,
AA,4900,2025-08-10,1,0,
AA,4900,2025-08-14,1,0,
AA,4902,2025-08-02,6,0,
AA,4914,2025-08-09,1,0,
AA,4915,2025-08-07,2,0,
AA,4935,2025-08-13,2,0,
AA,4942,2025-08-01,6,0,
AA,4942,2025-08-02,4,0,
AA,4947,2025-08-02,1,0,
AA,4947,2025-08-09,6,0,
AA,4947,2025-08-10,1,0,
AA,4948,2025-08-08,4,0,
AA,4948,2025-08-14,16,0,
AA,4949,2025-08-05,4,0,
AA,4954,2025-08-11,1,0,
AA,4958,2025-08-01,39,0,
AA,4958,2025-08-03,2,0,
AA,4958,2025-08-05,2,0,
AA,4958,2025-08-07,3,1,3.0
AA,4958,2025-08-14,1,0,
AA,4958,2025-08-15,2,0,
AA,4970,2025-08-01,2,0,
AA,4970,2025-08-04,6,0,
AA,4971,2025-08-10,9,0,
AA,4971,2025-08-11,1,0,
AA,4972,2025-08-11,2,0,
AA,4972,2025-08-14,1,0,
AA,4986,2025-08-10,3,0,
AA,4986,2025-08-14,1,0,
AA,4989,2025-08-14,1,0,
AA,4993,2025-08-03,2,0,
AA,4996,2025-08-09,1,0,
AA,5004,2025-08-10,0,2,0.0
AA,5004,2025-08-11,1,0,
AA,5006,2025-08-01,1,0,
AA,5010,2025-08-01,2,0,
AA,5010,2025-08-10,1,0,
AA,5012,2025-08-03,1,0,
AA,5012,2025-08-07,1,0,
AA,5012,2025-08-13,2,0,
AA,5120,2025-08-09,2,0,
AA,5120,2025-08-10,6,0,
AA,5120,2025-08-13,1,0,
AA,5127,2025-08-07,4,0,
AA,5129,2025-08-03,1,0,
AA,5131,2025-08-01,1,0,
AA,5143,2025-08-09,14,0,
AA,5143,2025-08-13,2,0,
AA,5143,2025-08-15,2,0,
AA,5172,2025-08-07,2,0,
AA,5172,2025-08-09,12,0,
AA,5172,2025-08-15,2,0,
AA,5207,2025-08-07,1,0,
AA,5207,2025-08-12,9,0,
AA,5313,2025-08-13,1,0,
AA,5341,2025-08-01,4,0,
AA,5378,2025-08-06,3,0,
AA,6244,2025-08-15,1,0,
AA,6257,2025-08-07,1,0,
AA,6264,2025-08-02,1,0,
AA,6264,2025-08-08,4,0,
AA,6264,2025-08-15,2,0,
AA,6268,2025-08-04,1,0,
AA,6268,2025-08-10,2,0,
AA,6278,2025-08-01,1,0,
AA,6287,2025-08-08,7,0,
AA,6287,2025-08-09,4,0,
AA,6299,2025-08-01,2,0,
AA,6299,2025-08-08,2,0,
AA,6299,2025-08-11,3,0,
AA,6300,2025-08-02,2,0,
AA,6300,2025-08-07,3,0,
AA,6300,2025-08-10,1,0,
AA,6300,2025-08-11,1,0,
AA,6304,2025-08-07,3,0,
AA,6304,2025-08-10,1,0,
AA,6304,2025-08-14,5,0,
AA,6324,2025-08-03,2,0,
AA,6324,2025-08-09,11,0,
AA,6324,2025-08-10,10,0,
AA,6347,2025-08-09,1,0,
AA,6348,2025-08-02,1,0,
AA,6349,2025-08-07,1,0,
AA,6352,2025-08-10,1,0,
AA,6353,2025-08-10,6,0,
AA,6355,2025-08-14,1,0,
AA,6357,2025-08-03,1,0,
AA,6357,2025-08-07,6,0,
AA,6357,2025-08-10,1,0,
AA,6362,2025-08-01,1,0,
AA,6362,2025-08-03,2,0,
AA,6362,2025-08-04,2,0,
AA,6362,2025-08-14,1,0,
AA,6368,2025-08-10,1,0,
AA,6370,2025-08-02,8,0,
AA,6370,2025-08-07,1,0,
AA,6396,2025-08-01,2,0,
AA,6396,2025-08-05,1,0,
AA,6396,2025-08-07,1,0,
AA,6398,2025-08-13,2,0,
AA,6408,2025-08-08,1,0,
AA,6408,2025-08-14,1,0,
AA,6415,2025-08-08,2,0,
AA,6415,2025-08-10,1,0,
AA,6417,2025-08-12,3,0,
AA,6417,2025-08-15,4,0,
AA,6422,2025-08-14,4,0,
AA,6426,2025-08-01,3,0,
AA,6426,2025-08-02,4,0,
AA,6426,2025-08-05,6,0,
AA,6427,2025-08-08,1,0,
AA,6440,2025-08-04,1,0,
AA,6449,2025-08-01,2,0,
AA,6452,2025-08-01,1,0,
AA,6476,2025-08-01,1,0,
AA,6476,2025-08-12,2,0,
AA,6478,2025-08-11,2,0,
AA,6478,2025-08-13,3,0,
AA,6481,2025-08-03,1,0,
AA,6487,2025-08-05,1,0,
AA,6488,2025-08-15,2,0,
AA,6493,2025-08-12,1,0,
AA,6498,2025-08-01,1,0,
AA,6498,2025-08-07,20,0,
AA,6498,2025-08-11,2,0,
AA,6498,2025-08-14,1,0,
AA,6498,2025-08-15,2,0,
AA,6500,2025-08-02,2,0,
AA,6501,2025-08-01,2,0,
AA,7018,2025-08-14,2,0,
AA,7994,2025-08-13,5,0,
AA,7996,2025-08-13,2,0,
AA,8404,2025-08-09,1,0,
AC,1,2025-08-10,2,0,
AC,2,2025-08-12,3,0,
AC,5,2025-08-13,4,0,
AC,64,2025-08-07,1,0,
AC,90,2025-08-12,2,0,
AC,469,2025-08-12,1,0,
AC,504,2025-08-01,12,0,
AC,504,2025-08-02,17,0,
AC,504,2025-08-03,28,0,
AC,504,2025-08-04,14,0,
AC,504,2025-08-05,34,0,
AC,504,2025-08-06,5,0,
AC,504,2025-08-07,20,0,
