company_id,flight_number,scheduled_departure_date_local,departure_delay_minutes,scheduled_ground_time_minutes,minimum_turn_minutes
UA,2039,2025-08-01,18.0,74,62
UA,312,2025-08-04,0.0,70,46
UA,1933,2025-08-01,-3.0,77,56
OO,5118,2025-08-14,-7.0,57,29
UA,288,2025-08-08,68.0,240,122
OO,5395,2025-08-05,-1.0,39,34
OO,5868,2025-08-06,220.0,68,42
OO,4748,2025-08-05,-7.0,124,29
OO,5124,2025-08-02,7.0,61,29
UA,1933,2025-08-12,21.0,528,56
UA,293,2025-08-05,-11.0,57,51
UA,1834,2025-08-07,10.0,1002,51
UA,970,2025-08-02,-7.0,571,100
UA,1657,2025-08-09,-10.0,635,43
OO,5275,2025-08-01,-4.0,99,29
YX,3520,2025-08-13,-7.0,936,70
UA,563,2025-08-05,-8.0,400,62
UA,1803,2025-08-09,13.0,23,56
UA,980,2025-08-09,12.0,375,150
OO,4789,2025-08-09,73.0,267,34
OO,4645,2025-08-13,-5.0,88,29
UA,714,2025-08-01,18.0,1429,54
UA,2333,2025-08-03,2.0,63,56
YX,3601,2025-08-03,-2.0,52,42
UA,1859,2025-08-03,-1.0,167,43
UA,224,2025-08-13,14.0,23,51
UA,2278,2025-08-15,0.0,80,62
UA,1658,2025-08-02,-2.0,405,56
OO,5344,2025-08-15,9.0,106,29
UA,1564,2025-08-03,53.0,130,119
G7,4416,2025-08-14,-3.0,316,29
OO,5448,2025-08-03,-1.0,132,29
YX,3694,2025-08-09,16.0,47,34
G7,4502,2025-08-13,-4.0,55,29
G7,4390,2025-08-08,-9.0,54,29
UA,2387,2025-08-07,114.0,78,62
YX,3707,2025-08-09,6.0,59,39
YX,3604,2025-08-02,34.0,49,39
YX,3542,2025-08-11,-7.0,68,42
OO,5444,2025-08-15,-2.0,40,29
UA,2090,2025-08-02,1.0,61,57
YX,3571,2025-08-08,-4.0,60,34
UA,2059,2025-08-06,133.0,85,56
UA,1989,2025-08-01,1.0,70,56
UA,2011,2025-08-14,-5.0,62,60
OO,4780,2025-08-14,-7.0,2731,29
UA,1933,2025-08-04,-4.0,73,56
UA,2202,2025-08-12,73.0,9,56
UA,2232,2025-08-08,-8.0,55,51
UA,1741,2025-08-09,-7.0,92,43
OO,5493,2025-08-13,102.0,104,29
UA,845,2025-08-01,16.0,360,155
UA,1740,2025-08-03,-2.0,401,56
UA,2628,2025-08-15,-5.0,73,51
OO,5344,2025-08-11,-6.0,106,29
UA,1531,2025-08-14,33.0,64,43
UA,622,2025-08-14,1.0,99,87
UA,769,2025-08-15,46.0,480,95
UA,767,2025-08-11,9.0,72,62
UA,1983,2025-08-08,-2.0,115,56
G7,4380,2025-08-13,-9.0,35,29
YX,3635,2025-08-04,6.0,166,34
UA,1363,2025-08-02,0.0,75,62
UA,2652,2025-08-04,113.0,-26,51
UA,758,2025-08-05,17.0,14,56
UA,1634,2025-08-07,64.0,77,56
OO,5376,2025-08-05,0.0,77,34
OO,5362,2025-08-07,33.0,96,29
UA,2195,2025-08-04,-4.0,129,51
UA,1742,2025-08-09,38.0,3,51
UA,378,2025-08-13,31.0,46,56
OO,5624,2025-08-05,18.0,222,34
UA,563,2025-08-13,-4.0,477,62
OO,5309,2025-08-15,8.0,82,29
UA,2378,2025-08-14,4.0,82,62
YX,3433,2025-08-06,-5.0,320,34
G7,4518,2025-08-07,-7.0,44,29
YX,3468,2025-08-04,-7.0,47,34
OO,5383,2025-08-05,-10.0,40,29
OO,5038,2025-08-06,237.0,4116,29
OO,5568,2025-08-11,-8.0,62,29
OO,5843,2025-08-15,42.0,-22,34
OO,5643,2025-08-12,94.0,45,29
UA,786,2025-08-11,-2.0,90,46
UA,1198,2025-08-03,-4.0,98,70
G7,4497,2025-08-09,-5.0,60,29
OO,5905,2025-08-02,-2.0,54,34
OO,5026,2025-08-02,-1.0,75,29
OO,5555,2025-08-14,208.0,80,29
G7,4571,2025-08-05,0.0,80,29
UA,1097,2025-08-05,-4.0,80,60
UA,1834,2025-08-13,-8.0,83,51
UA,1975,2025-08-07,72.0,527,43
G7,4458,2025-08-06,-3.0,65,29
G7,4568,2025-08-04,-6.0,49,29
UA,1851,2025-08-14,-5.0,85,43
OO,5447,2025-08-04,-7.0,90,34
UA,1564,2025-08-07,79.0,-18,51
UA,1030,2025-08-04,129.0,-50,62
UA,2417,2025-08-01,5.0,81,56
UA,2155,2025-08-03,46.0,1415,66
UA,1205,2025-08-12,1.0,67,56
UA,1905,2025-08-11,4.0,76,46
UA,2147,2025-08-05,26.0,103,43
UA,1316,2025-08-13,-6.0,111,43
UA,1377,2025-08-04,22.0,18,43
G7,4185,2025-08-09,-1.0,70,29
YX,3614,2025-08-12,107.0,174,34
OO,5555,2025-08-10,28.0,127,29
YX,3551,2025-08-01,6.0,47,39
UA,1872,2025-08-15,6.0,57,46
G7,4574,2025-08-11,-8.0,102,37
UA,476,2025-08-13,-9.0,192,46
OO,4789,2025-08-11,62.0,-25,34
G7,4517,2025-08-02,-5.0,55,29
OO,5230,2025-08-01,-6.0,45,29
UA,1941,2025-08-08,12.0,71,43
UA,310,2025-08-06,22.0,59,43
UA,482,2025-08-15,-2.0,63,57
OO,5565,2025-08-13,11.0,20,29
UA,1905,2025-08-04,-4.0,80,43
G7,4488,2025-08-09,0.0,55,29
UA,1832,2025-08-14,80.0,-27,43
G7,4542,2025-08-02,-5.0,70,29
OO,4718,2025-08-15,-3.0,75,29
UA,2430,2025-08-09,-3.0,74,43
OO,5026,2025-08-10,20.0,40,29
UA,275,2025-08-12,24.0,64,46
UA,1477,2025-08-14,-9.0,92,62
UA,1252,2025-08-03,-3.0,643,43
UA,2226,2025-08-04,-1.0,93,56
UA,1414,2025-08-01,40.0,64,43
UA,2144,2025-08-03,2.0,72,60
UA,2666,2025-08-15,-7.0,285,62
UA,1306,2025-08-06,-5.0,92,62
UA,1677,2025-08-01,6.0,73,51
UA,944,2025-08-06,-1.0,250,155
OO,5795,2025-08-01,-1.0,770,34
OO,5376,2025-08-09,165.0,-141,39
UA,2677,2025-08-10,23.0,246,122
OO,5392,2025-08-05,-1.0,61,34
UA,2609,2025-08-02,-6.0,156,43
UA,1129,2025-08-03,20.0,130,114
UA,1793,2025-08-08,-6.0,747,46
OO,5593,2025-08-10,-2.0,52,34
G7,4194,2025-08-02,-4.0,205,29
UA,1634,2025-08-05,-3.0,77,56
G7,4445,2025-08-01,-11.0,76,29
UA,1205,2025-08-13,42.0,67,56
UA,2389,2025-08-13,-11.0,73,56
UA,1129,2025-08-02,-1.0,65,60
UA,1576,2025-08-01,10.0,80,51
UA,1580,2025-08-12,148.0,169,65
G7,4194,2025-08-09,-2.0,75,29
UA,1097,2025-08-07,94.0,22,51
OO,5253,2025-08-15,1.0,47,34
OO,5868,2025-08-13,53.0,168,42
OO,5309,2025-08-08,94.0,82,29
UA,1041,2025-08-07,6.0,57,43
UA,1674,2025-08-09,5.0,62,70
OO,5493,2025-08-09,-8.0,99,29
OO,5493,2025-08-12,6.0,106,29
UA,1741,2025-08-02,44.0,-3,43
UA,1297,2025-08-08,2.0,70,43
OO,5309,2025-08-09,1.0,185,29
UA,669,2025-08-14,-10.0,41,51
UA,1967,2025-08-08,1.0,82,56
OO,4780,2025-08-15,100.0,70,29
UA,1583,2025-08-01,15.0,90,56
UA,2195,2025-08-01,2.0,82,51
UA,288,2025-08-11,-3.0,255,122
UA,1477,2025-08-10,13.0,70,62
UA,2618,2025-08-08,7.0,78,46
UA,763,2025-08-03,-2.0,73,51
UA,2378,2025-08-05,7.0,87,70
UA,2440,2025-08-08,-5.0,67,64
UA,2099,2025-08-11,8.0,999,56
UA,2202,2025-08-02,1.0,100,56
OO,4778,2025-08-02,-5.0,68,29
OO,5375,2025-08-13,-7.0,77,29
OO,5037,2025-08-11,61.0,24,29
UA,2389,2025-08-15,-4.0,79,56
OO,5517,2025-08-01,-3.0,76,34
UA,1297,2025-08-07,-2.0,57,43
OO,4739,2025-08-14,-7.0,58,29
YX,3440,2025-08-14,-6.0,539,42
OO,5251,2025-08-06,4.0,146,34
UA,907,2025-08-05,0.0,185,155
G7,4425,2025-08-15,-3.0,115,29
UA,721,2025-08-12,20.0,72,56
OO,5260,2025-08-02,-8.0,49,29
OO,5555,2025-08-02,1.0,70,29
UA,1492,2025-08-07,56.0,11,51
G7,4610,2025-08-11,-6.0,59,29
OO,5470,2025-08-12,-1.0,43,34
OO,5946,2025-08-02,-3.0,272,34
OO,5555,2025-08-08,-4.0,70,29
UA,2628,2025-08-14,6.0,65,56
UA,1620,2025-08-03,-5.0,577,62
G7,4436,2025-08-14,33.0,49,33
UA,2427,2025-08-08,11.0,79,43
OO,5027,2025-08-10,-11.0,783,29
YX,3614,2025-08-02,92.0,435,34
OO,5274,2025-08-08,4.0,65,29
UA,2424,2025-08-07,32.0,80,56
UA,881,2025-08-05,-2.0,1420,155
UA,1599,2025-08-07,45.0,186,93
UA,416,2025-08-08,-2.0,215,150
UA,2658,2025-08-09,6.0,104,46
OO,5414,2025-08-03,1.0,46,29
UA,2226,2025-08-13,-3.0,121,56
UA,1909,2025-08-04,-7.0,69,56
OO,5964,2025-08-07,0.0,72,34
OO,5289,2025-08-08,119.0,-83,29
UA,1215,2025-08-09,-2.0,106,51
OO,5810,2025-08-05,-6.0,105,29
UA,307,2025-08-04,-9.0,70,43
UA,2609,2025-08-10,2.0,67,43
UA,563,2025-08-11,-4.0,112,68
G7,4530,2025-08-08,-4.0,82,29
UA,752,2025-08-08,-5.0,65,46
UA,1967,2025-08-01,-1.0,73,56
OO,5521,2025-08-04,0.0,66,29
UA,1398,2025-08-02,-5.0,75,51
OO,5470,2025-08-10,-10.0,49,34
UA,980,2025-08-04,27.0,135,150
UA,2691,2025-08-13,15.0,546,56
OO,5470,2025-08-14,18.0,49,34
UA,2629,2025-08-12,-4.0,68,56
UA,1710,2025-08-11,4.0,64,51
UA,929,2025-08-02,45.0,280,145
UA,1756,2025-08-03,12.0,74,65
G7,4501,2025-08-13,-5.0,58,29
G7,4559,2025-08-05,-8.0,67,29
UA,1775,2025-08-12,-4.0,89,62
OO,5968,2025-08-02,-4.0,74,34
OO,5131,2025-08-01,45.0,22,29
YX,3569,2025-08-01,-3.0,52,34
UA,2691,2025-08-03,14.0,74,56
UA,1010,2025-08-15,-1.0,642,46
OO,4766,2025-08-13,-3.0,42,29
OO,5930,2025-08-03,4.0,16,29
OO,4748,2025-08-11,24.0,124,29
OO,5437,2025-08-03,-6.0,300,29
UA,2394,2025-08-15,9.0,93,66
UA,2661,2025-08-07,-5.0,151,51
UA,1983,2025-08-03,0.0,126,56
UA,1775,2025-08-11,5.0,62,56
YX,3700,2025-08-01,-2.0,55,34
UA,1306,2025-08-10,82.0,92,62
OO,5555,2025-08-07,96.0,-32,29
UA,2290,2025-08-10,55.0,185,56
UA,2347,2025-08-09,19.0,185,114
UA,1655,2025-08-04,30.0,54,46
UA,660,2025-08-08,-6.0,2416,62
G7,4529,2025-08-04,28.0,50,29
UA,721,2025-08-01,-6.0,80,56
G7,4610,2025-08-04,1.0,36,29
UA,1182,2025-08-07,13.0,60,46
UA,2418,2025-08-10,-2.0,67,52
UA,1291,2025-08-07,98.0,17,62
UA,576,2025-08-05,18.0,175,62
OO,4718,2025-08-07,-3.0,422,29
UA,1923,2025-08-12,195.0,70,43
UA,1742,2025-08-12,12.0,90,51
G7,4549,2025-08-08,126.0,71,29
UA,1980,2025-08-13,-7.0,387,51
UA,1044,2025-08-09,-1.0,777,66
UA,1801,2025-08-13,4.0,88,66
UA,1182,2025-08-01,9.0,84,43
OO,5099,2025-08-13,-2.0,70,29
UA,1708,2025-08-14,5.0,79,56
G7,4559,2025-08-13,-4.0,62,29
OO,5868,2025-08-05,-1.0,169,42
OO,5999,2025-08-11,43.0,41,34
UA,2243,2025-08-09,-2.0,86,46
OO,5262,2025-08-01,-4.0,55,29
YX,3690,2025-08-02,0.0,45,34
OO,5275,2025-08-04,-9.0,85,29
UA,2657,2025-08-09,-2.0,94,56
G7,4390,2025-08-14,38.0,124,29
OO,5593,2025-08-08,44.0,-24,34
OO,5215,2025-08-01,-8.0,91,29
OO,5603,2025-08-15,50.0,86,29
OO,5810,2025-08-13,2.0,90,29
G7,4406,2025-08-11,-7.0,787,29
G7,4474,2025-08-01,-9.0,669,29
OO,5405,2025-08-03,9.0,-10,29
UA,1775,2025-08-04,-1.0,743,56
UA,476,2025-08-12,-5.0,75,43
OO,5094,2025-08-08,-10.0,173,29
UA,938,2025-08-05,7.0,245,145
UA,2609,2025-08-07,-5.0,59,43
UA,1905,2025-08-01,-3.0,60,46
UA,2618,2025-08-01,4.0,69,43
UA,1258,2025-08-09,-5.0,72,52
UA,310,2025-08-12,31.0,58,43
UA,767,2025-08-14,-5.0,67,62
UA,422,2025-08-02,3.0,185,155
UA,490,2025-08-01,-3.0,72,43
UA,291,2025-08-13,24.0,70,46
OO,5748,2025-08-11,8.0,47,42
UA,2369,2025-08-11,-3.0,67,56
G7,4517,2025-08-13,63.0,-18,29
OO,5320,2025-08-04,92.0,54,29
UA,2172,2025-08-10,65.0,77,51
YX,3440,2025-08-05,-5.0,539,42
OO,5593,2025-08-13,-5.0,1224,34
UA,1113,2025-08-02,-2.0,150,43
UA,1584,2025-08-06,-1.0,711,62
G7,4380,2025-08-03,-7.0,35,29
UA,2488,2025-08-12,-7.0,67,51
YX,3535,2025-08-05,-8.0,57,34
OO,5790,2025-08-10,126.0,-15,29
OO,5748,2025-08-14,0.0,47,42
UA,2137,2025-08-06,-1.0,653,51
UA,2347,2025-08-14,34.0,63,51
OO,5505,2025-08-10,189.0,-90,29
UA,343,2025-08-09,-1.0,88,46
UA,411,2025-08-06,-4.0,80,43
UA,1941,2025-08-13,-4.0,71,43
OO,5833,2025-08-11,0.0,80,39
UA,1006,2025-08-11,20.0,56,51
G7,4416,2025-08-07,5.0,64,29
OO,5420,2025-08-09,-1.0,69,29
OO,5930,2025-08-04,-2.0,90,29
UA,617,2025-08-12,224.0,85,51
OO,5026,2025-08-06,88.0,40,29
UA,1069,2025-08-03,23.0,65,43
G7,4461,2025-08-15,-7.0,36,29
OO,5448,2025-08-06,1.0,115,29
UA,2106,2025-08-10,-1.0,75,62
YX,3718,2025-08-03,-2.0,67,39
UA,2481,2025-08-01,-5.0,75,46
OO,5646,2025-08-01,1.0,55,29
UA,2278,2025-08-01,15.0,80,62
G7,4452,2025-08-01,-2.0,57,29
UA,845,2025-08-14,139.0,385,155
UA,660,2025-08-12,-5.0,87,62
UA,1923,2025-08-09,65.0,-18,56
UA,1492,2025-08-11,14.0,177,51
UA,2343,2025-08-12,288.0,72,56
UA,602,2025-08-12,10.0,70,56
UA,2059,2025-08-11,11.0,73,56
UA,2609,2025-08-03,-6.0,67,43
UA,1641,2025-08-10,26.0,78,43
UA,2071,2025-08-07,-4.0,736,56
OO,5532,2025-08-08,-9.0,69,34
OO,5344,2025-08-07,-6.0,70,29
YX,3433,2025-08-13,-10.0,80,34
OO,5474,2025-08-07,4.0,105,29
OO,5538,2025-08-04,-8.0,76,29
OO,5118,2025-08-13,-3.0,51,29
UA,793,2025-08-06,13.0,85,43
UA,1485,2025-08-02,-9.0,71,51
UA,2211,2025-08-01,4.0,64,51
OO,5225,2025-08-04,7.0,98,29
UA,1492,2025-08-12,207.0,70,51
UA,2370,2025-08-06,6.0,103,56
OO,5729,2025-08-04,-10.0,93,29
YX,3641,2025-08-04,38.0,60,34
UA,1823,2025-08-09,2.0,105,68
UA,2138,2025-08-02,22.0,956,51
UA,2182,2025-08-03,5.0,96,46
UA,2005,2025-08-02,3.0,55,43
OO,5420,2025-08-02,3.0,69,29
OO,5427,2025-08-05,-6.0,165,29
UA,3,2025-08-09,24.0,270,145
UA,359,2025-08-02,14.0,95,60
YX,3542,2025-08-13,-3.0,62,42
UA,669,2025-08-01,-6.0,78,57
YX,3433,2025-08-01,-6.0,114,34
G7,4451,2025-08-10,-6.0,1005,29
UA,2483,2025-08-06,4.0,181,56
UA,881,2025-08-09,0.0,20,100
UA,1643,2025-08-06,-9.0,760,56
UA,1209,2025-08-07,54.0,184,56
UA,2361,2025-08-08,-3.0,869,66
UA,2347,2025-08-12,217.0,4,51
OO,5280,2025-08-10,20.0,79,34
OO,5737,2025-08-07,16.0,57,34
OO,5448,2025-08-10,5.0,115,29
UA,2232,2025-08-15,-4.0,471,51
UA,2040,2025-08-08,23.0,135,119
UA,791,2025-08-06,-2.0,139,68
UA,2226,2025-08-07,83.0,-8,56
UA,1403,2025-08-11,56.0,65,43
UA,1124,2025-08-08,30.0,76,56
UA,2417,2025-08-11,5.0,78,56
UA,2039,2025-08-06,134.0,74,62
UA,987,2025-08-13,5.0,290,155
UA,293,2025-08-15,0.0,57,51
YX,3468,2025-08-14,-9.0,47,34
UA,275,2025-08-10,8.0,57,46
UA,2090,2025-08-13,-6.0,83,60
UA,2243,2025-08-06,382.0,75,46
OO,5868,2025-08-09,-3.0,73,42
G7,4436,2025-08-11,-5.0,40,29
OO,5819,2025-08-04,-10.0,55,29
G7,4429,2025-08-14,2.0,62,29
UA,1224,2025-08-01,-5.0,100,62
G7,4451,2025-08-02,31.0,88,29
UA,1097,2025-08-09,1.0,105,43
YX,3523,2025-08-08,-2.0,47,34
OO,5763,2025-08-14,-5.0,47,34
OO,5534,2025-08-08,16.0,52,34
UA,399,2025-08-07,-3.0,91,51
UA,481,2025-08-07,76.0,-24,43
G7,4549,2025-08-11,-3.0,45,29
OO,5429,2025-08-09,73.0,89,34
OO,5140,2025-08-12,28.0,403,29
OO,5526,2025-08-14,57.0,-30,29
UA,276,2025-08-08,-4.0,72,62
UA,2628,2025-08-12,119.0,67,56
UA,1538,2025-08-02,-6.0,93,43
UA,2090,2025-08-06,-6.0,83,60
UA,1205,2025-08-10,-3.0,67,56
UA,1324,2025-08-14,1.0,84,62
UA,912,2025-08-06,190.0,150,75
OO,5538,2025-08-03,-3.0,76,29
UA,3,2025-08-08,2.0,270,145
OO,5557,2025-08-11,-8.0,84,34
G7,4436,2025-08-08,-6.0,65,29
G7,4610,2025-08-10,-7.0,36,29
UA,503,2025-08-10,10.0,118,66
UA,2154,2025-08-13,69.0,5,56
G7,4584,2025-08-07,82.0,87,29
UA,1239,2025-08-11,-2.0,61,46
OO,5135,2025-08-07,118.0,-20,29
UA,2280,2025-08-11,0.0,600,62
OO,5094,2025-08-01,5.0,77,29
UA,1030,2025-08-13,16.0,80,51
UA,2148,2025-08-14,13.0,60,46
UA,617,2025-08-05,-10.0,85,51
UA,909,2025-08-10,0.0,280,95
UA,1693,2025-08-15,-2.0,58,46
UA,721,2025-08-14,-2.0,80,56
UA,1677,2025-08-09,87.0,64,56
UA,669,2025-08-03,-9.0,63,51
UA,1775,2025-08-15,-1.0,89,62
UA,1135,2025-08-03,-3.0,104,65
OO,5103,2025-08-02,-5.0,90,29
OO,5405,2025-08-09,47.0,-12,29
UA,1006,2025-08-03,13.0,64,51
G7,4416,2025-08-02,87.0,65,29
OO,5859,2025-08-11,-9.0,651,34
UA,1941,2025-08-02,34.0,7,43
OO,5352,2025-08-14,105.0,75,29
G7,4610,2025-08-08,-1.0,38,29
UA,1580,2025-08-08,79.0,90,65
UA,907,2025-08-14,145.0,726,100
OO,5103,2025-08-05,14.0,4600,29
UA,422,2025-08-14,3.0,185,155
UA,561,2025-08-04,-4.0,67,56
UA,611,2025-08-04,-3.0,95,72
UA,1815,2025-08-10,6.0,71,62
OO,4809,2025-08-12,4.0,72,34
UA,1576,2025-08-07,45.0,55,51
UA,2133,2025-08-01,107.0,110,122
UA,399,2025-08-11,-5.0,70,51
UA,2200,2025-08-01,18.0,63,51
OO,5631,2025-08-05,-6.0,94,29
UA,1010,2025-08-10,0.0,13,46
UA,2333,2025-08-13,-3.0,84,56
G7,4546,2025-08-07,7.0,95,29
